engine,workload,scale,threads,elapsed_ms,ns_per_op,ops_per_sec,cpu_time_ms,rss_delta_kb,gc_time_ms,gc_count,read_kb,write_kb,disk_kb,disk_bytes_per_op
je,w01_seq_write,1000,1,847.300,847300.000,1180.000,620,0,0,0,0,0,0,0.00
je,w02_rand_write,1000,1,762.700,762700.000,1311.000,430,0,0,0,0,0,0,0.00
je,w03_seq_read,1000,1,20.700,20720.721,48249.000,60,0,0,0,0,0,0,0.00
je,w04_rand_read,1000,1,9.300,9290.709,107635.000,30,0,0,0,0,0,0,0.00
je,w05_range_scan,1000,1,7.700,7707.708,129697.000,20,0,0,0,0,0,0,0.00
je,w06_write_heavy,1000,1,622.100,622100.000,1607.000,550,0,0,0,0,0,0,0.00
je,w07_read_heavy,1000,1,88.200,88200.000,11342.000,40,0,0,0,0,0,0,0.00
je,w08_delete_insert,1000,1,1419.000,709854.927,1409.000,1050,0,0,0,0,0,0,0.00
je,w09_txn_multi,1000,1,726.500,145300.000,6882.000,720,0,0,0,0,0,0,0.00
je,w10_conc_1r0w,1000,1,5.300,5310.621,188334.000,10,0,0,0,0,0,0,0.00
je,w10_conc_0r1w,1000,1,701.900,701900.000,1425.000,220,0,0,0,0,0,0,0.00
je,w10_conc_4r0w,1000,4,6.800,6806.807,146923.000,40,0,0,0,0,0,0,0.00
je,w10_conc_0r4w,1000,4,371.600,371600.000,2691.000,400,0,0,0,0,0,0,0.00
je,w10_conc_4r4w,1000,8,183.500,183500.000,5448.000,100,0,0,0,0,0,0,0.00
je,w10_conc_8r8w,1000,16,107.800,108669.355,9198.000,120,0,0,0,0,0,0,0.00
je,w01_seq_write,10000,1,6779.300,677997.800,1475.000,3270,0,0,0,0,0,0,0.00
je,w02_rand_write,10000,1,7110.100,711223.367,1406.000,2420,0,0,0,0,0,0,0.00
je,w03_seq_read,10000,1,19.100,1911.529,523145.000,40,0,0,0,0,0,0,0.00
je,w04_rand_read,10000,1,17.900,1794.486,557244.000,10,0,0,0,0,0,0,0.00
je,w05_range_scan,10000,1,13.500,1352.841,739222.000,30,0,0,0,0,0,0,0.00
je,w06_write_heavy,10000,1,5886.700,588552.290,1699.000,1960,0,0,0,0,0,0,0.00
je,w07_read_heavy,10000,1,694.100,69410.000,14407.000,240,0,0,0,0,0,0,0.00
je,w08_delete_insert,10000,1,20474.500,1023520.296,977.000,6080,0,5,1,0,0,0,0.00
je,w09_txn_multi,10000,1,7376.600,147534.951,6778.000,2780,0,0,0,0,0,0,0.00
je,w10_conc_1r0w,10000,1,19.800,1975.654,506179.000,20,0,0,0,0,0,0,0.00
je,w10_conc_0r1w,10000,1,6468.600,646860.000,1546.000,1930,0,0,0,0,0,0,0.00
je,w10_conc_4r0w,10000,4,22.400,2236.198,447183.000,110,0,0,0,0,0,0,0.00
je,w10_conc_0r4w,10000,4,3851.500,385227.045,2596.000,2490,0,0,0,0,0,0,0.00
je,w10_conc_4r4w,10000,8,1812.000,181200.000,5519.000,840,0,0,0,0,0,0,0.00
je,w10_conc_8r8w,10000,16,960.800,96080.000,10408.000,540,0,0,0,0,0,0,0.00
je,w01_seq_write,100000,1,67928.100,679348.935,1472.000,22970,0,6,2,0,0,0,0.00
je,w02_rand_write,100000,1,69313.300,693001.330,1443.000,23840,0,16,2,0,0,0,0.00
je,w03_seq_read,100000,1,181.900,1819.437,549618.000,200,0,3,1,0,0,0,0.00
je,w04_rand_read,100000,1,241.900,2419.339,413335.000,280,0,4,1,0,0,0,0.00
je,w05_range_scan,100000,1,68.000,679.980,1470637.000,90,0,0,0,0,0,0,0.00
je,w06_write_heavy,100000,1,63366.600,633716.697,1578.000,23750,0,7,2,0,0,0,0.00
je,w07_read_heavy,100000,1,8539.600,85396.854,11710.000,3750,0,10,1,0,0,0,0.00
je,w08_delete_insert,100000,1,140419.600,702245.472,1424.000,55660,0,20,4,0,0,0,0.00
je,w09_txn_multi,100000,1,81719.900,163452.222,6118.000,31140,0,24,5,0,0,0,0.00
je,w10_conc_1r0w,100000,1,415.600,4156.416,240592.000,450,0,9,1,0,0,0,0.00
je,w10_conc_0r1w,100000,1,84917.200,848900.352,1178.000,33370,0,14,2,0,0,0,0.00
je,w10_conc_4r0w,100000,4,158.800,1587.905,629759.000,740,0,6,1,0,0,0,0.00
je,w10_conc_0r4w,100000,4,43579.500,435729.641,2295.000,20320,0,9,1,0,0,0,0.00
je,w10_conc_4r4w,100000,8,21727.800,217297.557,4602.000,10940,0,4,1,0,0,0,0.00
je,w10_conc_8r8w,100000,16,10983.400,109829.607,9105.000,6820,0,8,1,0,0,0,0.00
