engine,workload,scale,threads,elapsed_ms,ns_per_op,ops_per_sec,cpu_time_ms,rss_delta_kb,read_kb,write_kb,disk_kb,disk_bytes_per_op
noxu,w01_seq_write,1000,1,2.489,2489.5,401690,0,336,0,0,0,0.00
noxu,w02_rand_write,1000,1,1.741,1741.3,574286,0,140,0,0,0,0.00
noxu,w03_seq_read,1000,1,0.792,792.3,1262126,0,0,0,0,0,0.00
noxu,w04_rand_read,1000,1,0.809,809.2,1235785,0,0,0,0,0,0.00
noxu,w05_range_scan,1000,1,0.368,367.6,2720237,0,0,0,0,0,0.00
noxu,w06_write_heavy,1000,1,1.018,1017.9,982395,0,92,0,0,0,0.00
noxu,w07_read_heavy,1000,1,0.814,813.7,1228936,0,0,0,0,0,0.00
noxu,w08_delete_insert,1000,1,2.739,1369.5,730168,10,52,0,0,0,0.00
noxu,w09_txn_multi,1000,1,1029.198,205839.7,4858,350,508,0,296824,363,74.34
noxu,w10_conc_1r0w,1000,1,1.020,1020.2,980199,0,140,0,0,0,0.00
noxu,w10_conc_0r1w,1000,1,1.285,1284.5,778498,0,4,0,0,0,0.00
noxu,w10_conc_4r0w,1000,4,0.674,674.2,1483253,0,36,0,0,0,0.00
noxu,w10_conc_0r4w,1000,4,1.121,1120.7,892299,0,12,0,0,0,0.00
noxu,w10_conc_4r4w,1000,8,1.400,1400.1,714218,0,64,0,0,0,0.00
noxu,w10_conc_8r8w,1000,16,1.676,1690.0,591723,10,132,0,0,0,0.00
noxu,w01_seq_write,10000,1,46.672,4667.2,214259,50,1880,0,0,0,0.00
noxu,w02_rand_write,10000,1,41.885,4188.5,238751,40,1364,0,0,0,0.00
noxu,w03_seq_read,10000,1,15.307,1530.7,653298,10,0,0,0,0,0.00
noxu,w04_rand_read,10000,1,15.076,1507.6,663286,20,0,0,0,0,0.00
noxu,w05_range_scan,10000,1,6.374,637.4,1568985,0,0,0,0,0,0.00
noxu,w06_write_heavy,10000,1,12.377,1237.7,807970,10,0,0,0,0,0.00
noxu,w07_read_heavy,10000,1,13.362,1336.2,748400,20,0,0,0,0,0.00
noxu,w08_delete_insert,10000,1,34.025,1701.2,587808,40,420,0,0,0,0.00
noxu,w09_txn_multi,10000,1,24727.252,494545.0,2022,14710,2428,240,21980720,3632,74.38
noxu,w10_conc_1r0w,10000,1,13.266,1326.6,753828,20,0,0,0,0,0.00
noxu,w10_conc_0r1w,10000,1,11.907,1190.7,839813,10,0,0,0,0,0.00
noxu,w10_conc_4r0w,10000,4,6.534,653.4,1530345,20,0,0,0,0,0.00
noxu,w10_conc_0r4w,10000,4,12.545,1254.5,797116,50,0,0,0,0,0.00
noxu,w10_conc_4r4w,10000,8,12.426,1242.6,804748,60,0,0,0,0,0.00
noxu,w10_conc_8r8w,10000,16,18.268,1826.8,547406,120,0,0,0,0,0.00
noxu,w01_seq_write,100000,1,310.807,3108.1,321743,300,13628,0,0,0,0.00
noxu,w02_rand_write,100000,1,315.792,3157.9,316664,320,3252,0,0,0,0.00
noxu,w03_seq_read,100000,1,149.220,1492.2,670150,140,0,0,0,0,0.00
noxu,w04_rand_read,100000,1,226.838,2268.4,440844,230,0,0,0,0,0.00
