je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/rep/impl/node	CBVLSNTest	testBasic	test/com/sleepycat/je/rep/impl/node/CBVLSNTest.java		PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	medium	name-match heuristic
com/sleepycat/je/rep/impl/node	CBVLSNTest	testSmallFiles	test/com/sleepycat/je/rep/impl/node/CBVLSNTest.java	Don't rely on RepTestBase setup, because we want to specify the creation of the environment config.	NOT-PORTED			medium	medium	no matching test by name (snake=small_files); behaviour-level check needed
com/sleepycat/je/rep/impl/node	CBVLSNTest	testDbUpdateSuppression	test/com/sleepycat/je/rep/impl/node/CBVLSNTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=db_update_suppression); behaviour-level check needed
com/sleepycat/je/rep/impl/node	DbCacheTest	testCacheMRU	test/com/sleepycat/je/rep/impl/node/DbCacheTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=cache_mru); behaviour-level check needed
com/sleepycat/je/rep/impl/node	DbCacheTest	testCacheTimeout	test/com/sleepycat/je/rep/impl/node/DbCacheTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=cache_timeout); behaviour-level check needed
com/sleepycat/je/rep/impl/node	FeederRecordBatchTest	testBasic	test/com/sleepycat/je/rep/impl/node/FeederRecordBatchTest.java	Basic test to check that messages are being batched as follows: 1) Create a two node group.	PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	medium	name-match heuristic
com/sleepycat/je/rep/impl/node	FeederRecordBatchTest	testDataMix	test/com/sleepycat/je/rep/impl/node/FeederRecordBatchTest.java	Test to ensure that batching works correctly around a large object that does not fit into the cache.	NOT-PORTED			medium	medium	no matching test by name (snake=data_mix); behaviour-level check needed
com/sleepycat/je/rep/impl/node	GroupShutdownTest	testShutdownExceptions	test/com/sleepycat/je/rep/impl/node/GroupShutdownTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=shutdown_exceptions); behaviour-level check needed
com/sleepycat/je/rep/impl/node	GroupShutdownTest	testShutdownTimeout	test/com/sleepycat/je/rep/impl/node/GroupShutdownTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=shutdown_timeout); behaviour-level check needed
com/sleepycat/je/rep/impl/node	GroupShutdownTest	testShutdownBasic	test/com/sleepycat/je/rep/impl/node/GroupShutdownTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=shutdown_basic); behaviour-level check needed
com/sleepycat/je/rep/impl/node	GroupShutdownTest	testShutdownDuringQueryForGroupMembership	test/com/sleepycat/je/rep/impl/node/GroupShutdownTest.java	Test that shutting a node down while it is querying for group membership still causes the node to exit.	NOT-PORTED			medium	medium	no matching test by name (snake=shutdown_during_query_for_group_membership); behaviour-level check needed
com/sleepycat/je/rep/impl/node	GroupShutdownTest	testShutdownDuringQueryForGroupMembershipQueryLearners	test/com/sleepycat/je/rep/impl/node/GroupShutdownTest.java	Check for another EnvironmentWedgedException reported in [#25314].	NOT-PORTED			medium	medium	no matching test by name (snake=shutdown_during_query_for_group_membership_query_learners); behaviour-level check needed
com/sleepycat/je/rep/impl/node	GroupShutdownTest	testShutdownDuringFindRestoreSuppliers	test/com/sleepycat/je/rep/impl/node/GroupShutdownTest.java	Test that the node shuts down in a timely manner while searching for network restore suppliers.	NOT-PORTED			medium	medium	no matching test by name (snake=shutdown_during_find_restore_suppliers); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterBounceTest	testBounce	test/com/sleepycat/je/rep/impl/node/MasterBounceTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=bounce); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testBasic	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Tests a basic master transfer operation in a group of 3, with the master idle at the time of the transfer.	PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	medium	name-match heuristic
com/sleepycat/je/rep/impl/node	MasterTransferTest	testInFlightTxn	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Tests a master transfer with a transaction in progress.	NOT-PORTED			medium	medium	no matching test by name (snake=in_flight_txn); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testApplicationActivityDuringConversion	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Use test hooks to orchestrate a number of transactions that will be inflight when the master transfer happens, and have the application issue inserts or commits while the transfer is in play.	NOT-PORTED			medium	medium	no matching test by name (snake=application_activity_during_conversion); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testLateJoiner	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=late_joiner); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testStupidCodingMistakes	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=stupid_coding_mistakes); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testInterruption	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Tests recovery from thread interrupt.	NOT-PORTED			large	medium	no matching test by name (snake=interruption); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testTxnThreadInterrupt	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Tests interruption of a thread trying a commit, blocked in phase 2.	NOT-PORTED			medium	medium	no matching test by name (snake=txn_thread_interrupt); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testEnvCloseLocal	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Closes the master env handle while a locally invoked Master Transfer operation is in progress, and transaction threads are blocked in commit.	NOT-PORTED			medium	medium	no matching test by name (snake=env_close_local); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testOverlappingAttempts	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=overlapping_attempts); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testConcurrentTxns	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Tests a scenario in which completion of both phase 1 and phase 2 must be triggered by acks to fresh txns from the replica.	NOT-PORTED			medium	medium	no matching test by name (snake=concurrent_txns); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testLogEndAbort	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Tests transfer operations when the last stuff in the log is txn aborts.	NOT-PORTED			medium	medium	no matching test by name (snake=log_end_abort); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testAnotherTryAfterFailure	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Tests a second Master Transfer attempt, after a previous attempt has timed out.	NOT-PORTED			medium	medium	no matching test by name (snake=another_try_after_failure); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testPhase2Timeout	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Tests a scenario in which a Master Transfer operation times out while in phase 2, freeing previously blocked transactions to complete successfully, and allowing future transactions to execute freely.	NOT-PORTED			medium	medium	no matching test by name (snake=phase2_timeout); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testFeederRace	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Tests the scenario in which one of the candidate replicas establishes phase 2, but then a different replica becomes the winner.	NOT-PORTED			medium	medium	no matching test by name (snake=feeder_race); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testFeederDeath1	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Tests the scenario where a Feeder dies after having asserted the end of phase 1.	NOT-PORTED			medium	medium	no matching test by name (snake=feeder_death1); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testFeederDeath2a	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Tests the scenario where a Feeder dies after having asserted the end of phase 1.	NOT-PORTED			medium	medium	no matching test by name (snake=feeder_death2a); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testFeederDeath2b	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Tests the scenario where a Feeder dies after having asserted the end of phase 1.	NOT-PORTED			medium	medium	no matching test by name (snake=feeder_death2b); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testEnvCloseRemote	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Tests env close during remote invocation.	NOT-PORTED			medium	medium	no matching test by name (snake=env_close_remote); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testRemoteInvocation	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Tests remove invocation.	NOT-PORTED			medium	medium	no matching test by name (snake=remote_invocation); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testCmdLineInvocation	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=cmd_line_invocation); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MasterTransferTest	testInProgressFlag	test/com/sleepycat/je/rep/impl/node/MasterTransferTest.java	Checks to see that a "forcing" operation leaves the "in progress" flag set properly, but attempting a third (non-forcing) operation.	NOT-PORTED			medium	medium	no matching test by name (snake=in_progress_flag); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MinRetainedVLSNsTest	testNoneRetained	test/com/sleepycat/je/rep/impl/node/MinRetainedVLSNsTest.java	Test old behavior with no retained VLSNS	NOT-PORTED			large	medium	no matching test by name (snake=none_retained); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MinRetainedVLSNsTest	testRetained	test/com/sleepycat/je/rep/impl/node/MinRetainedVLSNsTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=retained); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MinorityTransferTest	testBeginWaiterException	test/com/sleepycat/je/rep/impl/node/MinorityTransferTest.java	Ensures that a thread waiting in {@code beginTransaction()} for sufficient replicas gets a proper {@code UnknownMasterException} upon a Master Transfer.	NOT-PORTED			medium	medium	no matching test by name (snake=begin_waiter_exception); behaviour-level check needed
com/sleepycat/je/rep/impl/node	MinorityTransferTest	testEnvClose	test/com/sleepycat/je/rep/impl/node/MinorityTransferTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=env_close); behaviour-level check needed
com/sleepycat/je/rep/impl/node	PrimaryNodeTest	testPrimaryParam	test/com/sleepycat/je/rep/impl/node/PrimaryNodeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=primary_param); behaviour-level check needed
com/sleepycat/je/rep/impl/node	PrimaryNodeTest	testConflictingPrimary	test/com/sleepycat/je/rep/impl/node/PrimaryNodeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=conflicting_primary); behaviour-level check needed
com/sleepycat/je/rep/impl/node	PrimaryNodeTest	testActivatePassivate	test/com/sleepycat/je/rep/impl/node/PrimaryNodeTest.java	Verifies that Txn begin and commits activate a Primary.	NOT-PORTED			medium	medium	no matching test by name (snake=activate_passivate); behaviour-level check needed
com/sleepycat/je/rep/impl/node	PrimaryNodeTest	testBasic	test/com/sleepycat/je/rep/impl/node/PrimaryNodeTest.java	Verifies that Txn begin and commits activate a Primary.	PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	medium	name-match heuristic
