je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/cleaner	BackgroundIOTest	testBackgroundIO1	test/com/sleepycat/je/cleaner/BackgroundIOTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=background_io1); behaviour-level check needed
com/sleepycat/je/cleaner	BackgroundIOTest	testBackgroundIO2	test/com/sleepycat/je/cleaner/BackgroundIOTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=background_io2); behaviour-level check needed
com/sleepycat/je/cleaner	BackgroundIOTest	testBackgroundIO3	test/com/sleepycat/je/cleaner/BackgroundIOTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=background_io3); behaviour-level check needed
com/sleepycat/je/cleaner	BackgroundIOTest	testBackgroundIO4	test/com/sleepycat/je/cleaner/BackgroundIOTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=background_io4); behaviour-level check needed
com/sleepycat/je/cleaner	CleanerTest	testCleanerNoDupes	test/com/sleepycat/je/cleaner/CleanerTest.java		PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for cleaner_no_dupes
com/sleepycat/je/cleaner	CleanerTest	testCleanerWithDupes	test/com/sleepycat/je/cleaner/CleanerTest.java		PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for cleaner_with_dupes
com/sleepycat/je/cleaner	CleanerTest	testCleanInternalNodes	test/com/sleepycat/je/cleaner/CleanerTest.java	Ensure that INs are cleaned.	PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for clean_internal_nodes
com/sleepycat/je/cleaner	CleanerTest	testCleanFileHole	test/com/sleepycat/je/cleaner/CleanerTest.java	See if we can clean in the middle of the file set.	PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for clean_file_hole
com/sleepycat/je/cleaner	CleanerTest	testSR13191	test/com/sleepycat/je/cleaner/CleanerTest.java	Test for SR13191.	PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for sr13191
com/sleepycat/je/cleaner	CleanerTest	testCleanerStop	test/com/sleepycat/je/cleaner/CleanerTest.java	Tests that setting je.env.runCleaner=false stops the cleaner from processing more files even if the target minUtilization is not met [#15158].	PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for cleaner_stop
com/sleepycat/je/cleaner	CleanerTest	testFileSelectorMemBudget	test/com/sleepycat/je/cleaner/CleanerTest.java	Tests that the FileSelector memory budget is subtracted when the environment is closed.	PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for file_selector_mem_budget
com/sleepycat/je/cleaner	CleanerTest	testCleanLogReadOnly	test/com/sleepycat/je/cleaner/CleanerTest.java	Tests that the cleanLog cannot be called in a read-only environment.	PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for clean_log_read_only
com/sleepycat/je/cleaner	CleanerTest	testUnexpectedFileDeletion	test/com/sleepycat/je/cleaner/CleanerTest.java	Tests that when a file being cleaned is deleted, we ignore the error and don't repeatedly try to clean it.	PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for unexpected_file_deletion
com/sleepycat/je/cleaner	CleanerTest	testMutableConfig	test/com/sleepycat/je/cleaner/CleanerTest.java	Tests that cleaner mutable configuration parameters can be changed and that the changes actually take effect.	PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for mutable_config
com/sleepycat/je/cleaner	CleanerTest	testTrackerMemoryBudget	test/com/sleepycat/je/cleaner/CleanerTest.java	Checks that the memory budget is updated properly by the UtilizationTracker.	PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for tracker_memory_budget
com/sleepycat/je/cleaner	CleanerTest	testFileSummaryLNMemoryUsage	test/com/sleepycat/je/cleaner/CleanerTest.java	Tests that memory is budgeted correctly for FileSummaryLNs that are inserted and deleted after calling setTrackedSummary.	PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for file_summary_ln_memory_usage
com/sleepycat/je/cleaner	CleanerTest	testUtilizationDuringCheckpoint	test/com/sleepycat/je/cleaner/CleanerTest.java	Checks that log utilization is updated incrementally during the checkpoint rather than only when the highest dirty level in the Btree is flushed.	PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for utilization_during_checkpoint
com/sleepycat/je/cleaner	CleanerTest	testEvictionDuringCheckpoint	test/com/sleepycat/je/cleaner/CleanerTest.java	Tests that dirtiness is logged upwards during a checkpoint, even if a node is evicted and refetched after being added to the checkpointer's dirty map, and before that entry in the dirty map is process	PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for eviction_during_checkpoint
com/sleepycat/je/cleaner	CleanerTest	testMultiCleaningBug	test/com/sleepycat/je/cleaner/CleanerTest.java		PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for multi_cleaning_bug
com/sleepycat/je/cleaner	CleanerTest	testOptimizedFileSummaryLNDeletion	test/com/sleepycat/je/cleaner/CleanerTest.java	Checks that no fetch misses occur when deleting FileSummaryLNs.	PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for optimized_file_summary_ln_deletion
com/sleepycat/je/cleaner	CleanerTest	testCompactBINAfterMigrateLN	test/com/sleepycat/je/cleaner/CleanerTest.java	Ensure that LN migration does not cause the representation of INs to change when migration places an LN in the slot and then evicts it afterwards.	PORTED-PARTIAL	crates/noxu-cleaner/tests/cleaner_test.rs		small	critical	class-level match: Noxu file crates/noxu-cleaner/tests/cleaner_test.rs covers same class but no method-name twin for compact_bin_after_migrate_ln
com/sleepycat/je/cleaner	DiskLimitTest	testAvailableLogSize	test/com/sleepycat/je/cleaner/DiskLimitTest.java	Checks calculation of available log size with various input values.	NOT-PORTED			medium	critical	no matching test by name (snake=available_log_size); behaviour-level check needed
com/sleepycat/je/cleaner	DiskLimitTest	testFreeDiskSubtraction	test/com/sleepycat/je/cleaner/DiskLimitTest.java	Checks that FREE_DISK is subtracted from MAX_DISK iff: - MAX_DISK > 10GB, or - FREE_DISK is explicitly specified.	NOT-PORTED			medium	critical	no matching test by name (snake=free_disk_subtraction); behaviour-level check needed
