je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/dbi	BINDeltaOperationTest	testEviction	test/com/sleepycat/je/dbi/BINDeltaOperationTest.java		NOT-PORTED			large	critical	no matching test by name (snake=eviction); behaviour-level check needed
com/sleepycat/je/dbi	BINDeltaOperationTest	testDbCount	test/com/sleepycat/je/dbi/BINDeltaOperationTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=db_count); behaviour-level check needed
com/sleepycat/je/dbi	BINDeltaOperationTest	testTransitionToDeferredWrite	test/com/sleepycat/je/dbi/BINDeltaOperationTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=transition_to_deferred_write); behaviour-level check needed
com/sleepycat/je/dbi	BINDeltaOpsTest	testMemory	test/com/sleepycat/je/dbi/BINDeltaOpsTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=memory); behaviour-level check needed
com/sleepycat/je/dbi	BINDeltaOpsTest	testNoDups	test/com/sleepycat/je/dbi/BINDeltaOpsTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=no_dups); behaviour-level check needed
com/sleepycat/je/dbi	BINDeltaOpsTest	testDups	test/com/sleepycat/je/dbi/BINDeltaOpsTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=dups); behaviour-level check needed
com/sleepycat/je/dbi	BINDeltaOpsTest	testPrevBin	test/com/sleepycat/je/dbi/BINDeltaOpsTest.java	Checks that getPrev works when moving backwards across BIN-deltas.	NOT-PORTED			medium	critical	no matching test by name (snake=prev_bin); behaviour-level check needed
com/sleepycat/je/dbi	BINDeltaOpsTest	testLargeBloomFilter	test/com/sleepycat/je/dbi/BINDeltaOpsTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=large_bloom_filter); behaviour-level check needed
com/sleepycat/je/dbi	CodeCoverageTest	testDeleteDeleted	test/com/sleepycat/je/dbi/CodeCoverageTest.java	Test the internal CursorImpl.delete() deleted LN code..	NOT-PORTED			medium	critical	no matching test by name (snake=delete_deleted); behaviour-level check needed
com/sleepycat/je/dbi	CompressedOopsDetectorTest	testDetector	test/com/sleepycat/je/dbi/CompressedOopsDetectorTest.java	There is no easy way to test that the detector has determined correctly if compact OOPs are in use -- that requires out-of-band confirmation.	NOT-PORTED			medium	critical	no matching test by name (snake=detector); behaviour-level check needed
com/sleepycat/je/dbi	DbConfigManagerTest	testBasicParams	test/com/sleepycat/je/dbi/DbConfigManagerTest.java	Test that parameter defaults work, that we can add and get parameters	NOT-PORTED			medium	critical	no matching test by name (snake=basic_params); behaviour-level check needed
com/sleepycat/je/dbi	DbConfigManagerTest	testBooleanWhitespace	test/com/sleepycat/je/dbi/DbConfigManagerTest.java	Checks that leading and trailing whitespace is ignored when parsing a boolean.	NOT-PORTED			medium	critical	no matching test by name (snake=boolean_whitespace); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDeleteTest	testSimpleDelete	test/com/sleepycat/je/dbi/DbCursorDeleteTest.java	Put a small number of data items into the database in a specific order, delete all the ones beginning with 'f', and then make sure they were really deleted.	NOT-PORTED			medium	critical	no matching test by name (snake=simple_delete); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDeleteTest	testSimpleDeleteInsert	test/com/sleepycat/je/dbi/DbCursorDeleteTest.java	Put a small number of data items into the database in a specific order.	NOT-PORTED			medium	critical	no matching test by name (snake=simple_delete_insert); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDeleteTest	testSimpleDeletePutCurrent	test/com/sleepycat/je/dbi/DbCursorDeleteTest.java	Put a small number of data items into the database in a specific order.	NOT-PORTED			medium	critical	no matching test by name (snake=simple_delete_put_current); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDeleteTest	testSimpleInsertDeleteInsert	test/com/sleepycat/je/dbi/DbCursorDeleteTest.java	Similar to above test, but there was some question about whether this tests new functionality or not.	NOT-PORTED			medium	critical	no matching test by name (snake=simple_insert_delete_insert); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDeleteTest	testSimpleDeleteAll	test/com/sleepycat/je/dbi/DbCursorDeleteTest.java	Put a small number of data items into the database in a specific order, delete all of them and then make sure they were really deleted.	NOT-PORTED			medium	critical	no matching test by name (snake=simple_delete_all); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDeleteTest	testLargeDelete	test/com/sleepycat/je/dbi/DbCursorDeleteTest.java	Insert N_KEYS data items into a tree.	NOT-PORTED			medium	critical	no matching test by name (snake=large_delete); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDeleteTest	testLargeDeleteAll	test/com/sleepycat/je/dbi/DbCursorDeleteTest.java	Insert N_KEYS data items into a tree.	NOT-PORTED			medium	critical	no matching test by name (snake=large_delete_all); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDeleteTest	testLargeDeleteFirst	test/com/sleepycat/je/dbi/DbCursorDeleteTest.java	Insert N_KEYS data items into a tree.	NOT-PORTED			medium	critical	no matching test by name (snake=large_delete_first); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDeleteTest	testLargeDeleteLast	test/com/sleepycat/je/dbi/DbCursorDeleteTest.java	Insert N_KEYS data items into a tree.	NOT-PORTED			medium	critical	no matching test by name (snake=large_delete_last); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDupTest	testCursorDupAndCloseDb	test/com/sleepycat/je/dbi/DbCursorDupTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=cursor_dup_and_close_db); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDupTest	testDupInitialized	test/com/sleepycat/je/dbi/DbCursorDupTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=dup_initialized); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDupTest	testCursorDupSamePosition	test/com/sleepycat/je/dbi/DbCursorDupTest.java	Create some duplicate data.	NOT-PORTED			medium	critical	no matching test by name (snake=cursor_dup_same_position); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateDeleteTest	testSimpleDeleteInsert	test/com/sleepycat/je/dbi/DbCursorDuplicateDeleteTest.java	Create some simple duplicate data.	NOT-PORTED			medium	critical	no matching test by name (snake=simple_delete_insert); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateDeleteTest	testCountAfterDelete	test/com/sleepycat/je/dbi/DbCursorDuplicateDeleteTest.java		PORTED-EQUIVALENT	crates/noxu-persist/src/primary_index.rs	test_count_after_delete	small	critical	name-match heuristic
com/sleepycat/je/dbi	DbCursorDuplicateDeleteTest	testDuplicateDeletionAll	test/com/sleepycat/je/dbi/DbCursorDuplicateDeleteTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=duplicate_deletion_all); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateDeleteTest	testDuplicateDeletionAssorted	test/com/sleepycat/je/dbi/DbCursorDuplicateDeleteTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=duplicate_deletion_assorted); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateDeleteTest	testDuplicateDeletionAssortedSR15375	test/com/sleepycat/je/dbi/DbCursorDuplicateDeleteTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=duplicate_deletion_assorted_sr15375); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateDeleteTest	testDuplicateDeleteFirst	test/com/sleepycat/je/dbi/DbCursorDuplicateDeleteTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=duplicate_delete_first); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateDeleteTest	testSimpleSingleElementDupTree	test/com/sleepycat/je/dbi/DbCursorDuplicateDeleteTest.java	Similar to above test, but there was some question about whether this tests new functionality or not.	NOT-PORTED			medium	critical	no matching test by name (snake=simple_single_element_dup_tree); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateDeleteTest	testEmptyNodes	test/com/sleepycat/je/dbi/DbCursorDuplicateDeleteTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=empty_nodes); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateDeleteTest	testDeletedReplaySR8984	test/com/sleepycat/je/dbi/DbCursorDuplicateDeleteTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=deleted_replay_sr8984); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateDeleteTest	testDuplicateDeadlockSR9885	test/com/sleepycat/je/dbi/DbCursorDuplicateDeleteTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=duplicate_deadlock_sr9885); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateDeleteTest	testSR9992	test/com/sleepycat/je/dbi/DbCursorDuplicateDeleteTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=sr9992); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateDeleteTest	testSR9900	test/com/sleepycat/je/dbi/DbCursorDuplicateDeleteTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=sr9900); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateTest	testDuplicateCreationForward	test/com/sleepycat/je/dbi/DbCursorDuplicateTest.java	Rudimentary insert/retrieve test.	NOT-PORTED			medium	critical	no matching test by name (snake=duplicate_creation_forward); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateTest	testDuplicateCreationForwardKeyLast	test/com/sleepycat/je/dbi/DbCursorDuplicateTest.java	Same as testDuplicateCreationForward except uses keylast.	NOT-PORTED			medium	critical	no matching test by name (snake=duplicate_creation_forward_key_last); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateTest	testDuplicateCreationBackwards	test/com/sleepycat/je/dbi/DbCursorDuplicateTest.java	Rudimentary insert/retrieve test.	NOT-PORTED			medium	critical	no matching test by name (snake=duplicate_creation_backwards); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateTest	testLargeGetForwardTraverseWithNormalComparisonFunction	test/com/sleepycat/je/dbi/DbCursorDuplicateTest.java	Insert N_KEYS data items into a tree.	NOT-PORTED			medium	critical	no matching test by name (snake=large_get_forward_traverse_with_normal_comparison_function); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateTest	testLargeGetForwardTraverseWithReverseComparisonFunction	test/com/sleepycat/je/dbi/DbCursorDuplicateTest.java	Insert N_KEYS data items into a tree.	NOT-PORTED			medium	critical	no matching test by name (snake=large_get_forward_traverse_with_reverse_comparison_function); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateTest	testPutNoDupData	test/com/sleepycat/je/dbi/DbCursorDuplicateTest.java	Put a bunch of data items into the database in a specific order and ensure that when read back that we can't putNoDupData without receiving an error return code.	NOT-PORTED			medium	critical	no matching test by name (snake=put_no_dup_data); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateTest	testPutNoDupData2	test/com/sleepycat/je/dbi/DbCursorDuplicateTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=put_no_dup_data2); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateTest	testAbortDuplicateTreeCreation	test/com/sleepycat/je/dbi/DbCursorDuplicateTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=abort_duplicate_tree_creation); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateTest	testDuplicateCount	test/com/sleepycat/je/dbi/DbCursorDuplicateTest.java	Create the usual random duplicate data.	NOT-PORTED			medium	critical	no matching test by name (snake=duplicate_count); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateTest	testDuplicateDuplicates	test/com/sleepycat/je/dbi/DbCursorDuplicateTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=duplicate_duplicates); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateTest	testDuplicateDuplicatesWithComparators	test/com/sleepycat/je/dbi/DbCursorDuplicateTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=duplicate_duplicates_with_comparators); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateTest	testDuplicateReplacement	test/com/sleepycat/je/dbi/DbCursorDuplicateTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=duplicate_replacement); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateTest	testDuplicateReplacementFailure	test/com/sleepycat/je/dbi/DbCursorDuplicateTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=duplicate_replacement_failure); behaviour-level check needed
com/sleepycat/je/dbi	DbCursorDuplicateTest	testDuplicateReplacementFailure1Dup	test/com/sleepycat/je/dbi/DbCursorDuplicateTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=duplicate_replacement_failure1_dup); behaviour-level check needed
