je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/evictor	BackgroundEvictionTest	testBaseline	test/com/sleepycat/je/evictor/BackgroundEvictionTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=baseline); behaviour-level check needed
com/sleepycat/je/evictor	BackgroundEvictionTest	testOpenClose	test/com/sleepycat/je/evictor/BackgroundEvictionTest.java	Checks that the background pool works correctly with shared environments.	NOT-PORTED			medium	critical	no matching test by name (snake=open_close); behaviour-level check needed
com/sleepycat/je/evictor	CacheModeTest	testMode_DEFAULT	test/com/sleepycat/je/evictor/CacheModeTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=mode_default); behaviour-level check needed
com/sleepycat/je/evictor	CacheModeTest	testMode_UNCHANGED	test/com/sleepycat/je/evictor/CacheModeTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=mode_unchanged); behaviour-level check needed
com/sleepycat/je/evictor	CacheModeTest	testMode_KEEP_HOT	test/com/sleepycat/je/evictor/CacheModeTest.java	CacheMode.KEEP_HOT is deprecated and behaves the same as DEFAULT.	NOT-PORTED			medium	critical	no matching test by name (snake=mode_keep_hot); behaviour-level check needed
com/sleepycat/je/evictor	CacheModeTest	testMode_MAKE_COLD	test/com/sleepycat/je/evictor/CacheModeTest.java	CacheMode.MAKE_COLD is deprecated and behaves he same as UNCHANGED.	NOT-PORTED			medium	critical	no matching test by name (snake=mode_make_cold); behaviour-level check needed
com/sleepycat/je/evictor	CacheModeTest	testMode_EVICT_LN	test/com/sleepycat/je/evictor/CacheModeTest.java	CacheMode.EVICT_LN assigns min generation to BIN but not to ancestors.	NOT-PORTED			medium	critical	no matching test by name (snake=mode_evict_ln); behaviour-level check needed
com/sleepycat/je/evictor	CacheModeTest	testMode_EVICT_BIN	test/com/sleepycat/je/evictor/CacheModeTest.java	CacheMode.EVICT_BIN does not change generation of BIN ancestors, evicts BIN (and its LNs).	NOT-PORTED			medium	critical	no matching test by name (snake=mode_evict_bin); behaviour-level check needed
com/sleepycat/je/evictor	CacheModeTest	testEvictLnOnlyWhenMovingAway	test/com/sleepycat/je/evictor/CacheModeTest.java	CacheMode.EVICT_LN does not evict the LN when two consecutive Cursor operations end up on the same record.	NOT-PORTED			medium	critical	no matching test by name (snake=evict_ln_only_when_moving_away); behaviour-level check needed
com/sleepycat/je/evictor	CacheModeTest	testEvictBinOnlyWhenMovingAway	test/com/sleepycat/je/evictor/CacheModeTest.java	CacheMode.EVICT_BIN does not evict the BIN when two consecutive Cursor operations end up on the same BIN.	NOT-PORTED			medium	critical	no matching test by name (snake=evict_bin_only_when_moving_away); behaviour-level check needed
com/sleepycat/je/evictor	CacheModeTest	testModeProperties	test/com/sleepycat/je/evictor/CacheModeTest.java	CacheMode can be set via the Environment, Database and Cursor properties.	NOT-PORTED			medium	critical	no matching test by name (snake=mode_properties); behaviour-level check needed
com/sleepycat/je/evictor	EvictActionTest	testEvict	test/com/sleepycat/je/evictor/EvictActionTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=evict); behaviour-level check needed
com/sleepycat/je/evictor	EvictActionTest	testNoNeedToEvict	test/com/sleepycat/je/evictor/EvictActionTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=no_need_to_evict); behaviour-level check needed
com/sleepycat/je/evictor	EvictActionTest	testSetCacheSize	test/com/sleepycat/je/evictor/EvictActionTest.java		PORTED-EQUIVALENT	crates/noxu-db/src/environment_config.rs	test_set_cache_size	small	critical	name-match heuristic
com/sleepycat/je/evictor	EvictActionTest	testSetCachePercent	test/com/sleepycat/je/evictor/EvictActionTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=set_cache_percent); behaviour-level check needed
com/sleepycat/je/evictor	EvictActionTest	testThreadedCacheSizeChanges	test/com/sleepycat/je/evictor/EvictActionTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=threaded_cache_size_changes); behaviour-level check needed
com/sleepycat/je/evictor	EvictActionTest	testSmallCacheSettings	test/com/sleepycat/je/evictor/EvictActionTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=small_cache_settings); behaviour-level check needed
com/sleepycat/je/evictor	EvictActionTest	testRootINEviction	test/com/sleepycat/je/evictor/EvictActionTest.java	We now allow eviction of the root IN of a DB, whether the DB is closed or not.	NOT-PORTED			large	critical	no matching test by name (snake=root_in_eviction); behaviour-level check needed
com/sleepycat/je/evictor	EvictActionTest	testMappingTreeEviction	test/com/sleepycat/je/evictor/EvictActionTest.java	We now allow eviction of the MapLN and higher level INs in the DB mapping tree when DBs are closed.	NOT-PORTED			large	critical	no matching test by name (snake=mapping_tree_eviction); behaviour-level check needed
com/sleepycat/je/evictor	EvictActionTest	testReadOnlyRootINEviction	test/com/sleepycat/je/evictor/EvictActionTest.java	Checks that a dirty root IN is not evicted in a read-only environment.	NOT-PORTED			large	critical	no matching test by name (snake=read_only_root_in_eviction); behaviour-level check needed
com/sleepycat/je/evictor	EvictActionTest	testAbortOpen	test/com/sleepycat/je/evictor/EvictActionTest.java	Check that opening a database in a transaction and then aborting the transaction will decrement the database use count.	NOT-PORTED			medium	critical	no matching test by name (snake=abort_open); behaviour-level check needed
com/sleepycat/je/evictor	EvictNNodesStatsTest	testRegularDB	test/com/sleepycat/je/evictor/EvictNNodesStatsTest.java	Check that the counters of evicted MapLNs in the DB mapping tree and the counter of evicted BINs in a regular DB eviction works.	NOT-PORTED			large	critical	no matching test by name (snake=regular_db); behaviour-level check needed
com/sleepycat/je/evictor	EvictNNodesStatsTest	testDeferredWriteDB	test/com/sleepycat/je/evictor/EvictNNodesStatsTest.java	Check that the counters of evicted MapLNs in the DB mapping tree and the counter of evicted BINs in a deferred write DB eviction works.	NOT-PORTED			large	critical	no matching test by name (snake=deferred_write_db); behaviour-level check needed
com/sleepycat/je/evictor	EvictSelectionTest	testEmptyINList	test/com/sleepycat/je/evictor/EvictSelectionTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=empty_in_list); behaviour-level check needed
