je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/incomp	EmptyBINTest	testScanFromEndOfFirstBin	test/com/sleepycat/je/incomp/EmptyBINTest.java	Test that searches and cursor traversals execute correctly in the face of a BIN with 0 entries, and with tree pruning at key points.	NOT-PORTED			medium	medium	no matching test by name (snake=scan_from_end_of_first_bin); behaviour-level check needed
com/sleepycat/je/incomp	EmptyBINTest	testScanFromLeftSideOfEmptyBin	test/com/sleepycat/je/incomp/EmptyBINTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scan_from_left_side_of_empty_bin); behaviour-level check needed
com/sleepycat/je/incomp	EmptyBINTest	testScanFromRightSideOfEmptyBin	test/com/sleepycat/je/incomp/EmptyBINTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scan_from_right_side_of_empty_bin); behaviour-level check needed
com/sleepycat/je/incomp	EmptyBINTest	testScanFromBeginningOfLastBin	test/com/sleepycat/je/incomp/EmptyBINTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scan_from_beginning_of_last_bin); behaviour-level check needed
com/sleepycat/je/incomp	EmptyBINTest	testScanForward	test/com/sleepycat/je/incomp/EmptyBINTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scan_forward); behaviour-level check needed
com/sleepycat/je/incomp	EmptyBINTest	testScanBackwards	test/com/sleepycat/je/incomp/EmptyBINTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scan_backwards); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testDeleteTransactional	test/com/sleepycat/je/incomp/INCompressorTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=delete_transactional); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testDeleteTransactionalWithBinDeltas	test/com/sleepycat/je/incomp/INCompressorTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=delete_transactional_with_bin_deltas); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testDeleteEvictFetchWithBinDeltas	test/com/sleepycat/je/incomp/INCompressorTest.java	Ensures that deleted slots are re-inserted into a BIN when applying a delta.	NOT-PORTED			medium	medium	no matching test by name (snake=delete_evict_fetch_with_bin_deltas); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testDeleteNonTransactional	test/com/sleepycat/je/incomp/INCompressorTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=delete_non_transactional); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testDeleteNonTransactionalWithBinDeltas	test/com/sleepycat/je/incomp/INCompressorTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=delete_non_transactional_with_bin_deltas); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testDeleteDuplicate	test/com/sleepycat/je/incomp/INCompressorTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=delete_duplicate); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testRemoveEmptyBIN	test/com/sleepycat/je/incomp/INCompressorTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=remove_empty_bin); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testRemoveEmptyBINWithBinDeltas	test/com/sleepycat/je/incomp/INCompressorTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=remove_empty_bin_with_bin_deltas); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testRemoveEmptyDBIN	test/com/sleepycat/je/incomp/INCompressorTest.java	DBINs are no longer used, but this test is retained for good measure.	NOT-PORTED			medium	medium	no matching test by name (snake=remove_empty_dbin); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testRemoveEmptyDBINandBIN	test/com/sleepycat/je/incomp/INCompressorTest.java	DBINs are no longer used, but this test is retained for good measure.	NOT-PORTED			medium	medium	no matching test by name (snake=remove_empty_dbi_nand_bin); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testAbortInsert	test/com/sleepycat/je/incomp/INCompressorTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=abort_insert); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testAbortInsertWithBinDeltas	test/com/sleepycat/je/incomp/INCompressorTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=abort_insert_with_bin_deltas); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testAbortInsertDuplicate	test/com/sleepycat/je/incomp/INCompressorTest.java	DBINs are no longer used, but this test is retained for good measure.	NOT-PORTED			medium	medium	no matching test by name (snake=abort_insert_duplicate); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testRollBackInsert	test/com/sleepycat/je/incomp/INCompressorTest.java		NOT-PORTED			large	medium	no matching test by name (snake=roll_back_insert); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testRollBackInsertWithBinDeltas	test/com/sleepycat/je/incomp/INCompressorTest.java		NOT-PORTED			large	medium	no matching test by name (snake=roll_back_insert_with_bin_deltas); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testRollBackInsertDuplicate	test/com/sleepycat/je/incomp/INCompressorTest.java	DBINs are no longer used, but this test is retained for good measure.	NOT-PORTED			large	medium	no matching test by name (snake=roll_back_insert_duplicate); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testRollForwardDelete	test/com/sleepycat/je/incomp/INCompressorTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=roll_forward_delete); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testRollForwardDeleteDuplicate	test/com/sleepycat/je/incomp/INCompressorTest.java	DBINs are no longer used, but this test is retained for good measure.	NOT-PORTED			medium	medium	no matching test by name (snake=roll_forward_delete_duplicate); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testLazyPruning	test/com/sleepycat/je/incomp/INCompressorTest.java	Test that we can handle cases where lazy compression runs first, but the daemon handles pruning.	NOT-PORTED			medium	medium	no matching test by name (snake=lazy_pruning); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testLazyPruningDups	test/com/sleepycat/je/incomp/INCompressorTest.java	Test that we can handle cases where lazy compression runs first, but the daemon handles pruning.	NOT-PORTED			medium	medium	no matching test by name (snake=lazy_pruning_dups); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testEmptyInitialDBINScan	test/com/sleepycat/je/incomp/INCompressorTest.java	Scan over an empty DBIN.	NOT-PORTED			medium	medium	no matching test by name (snake=empty_initial_dbin_scan); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testEmptyInitialBINScan	test/com/sleepycat/je/incomp/INCompressorTest.java	Scan over an empty BIN.	NOT-PORTED			medium	medium	no matching test by name (snake=empty_initial_bin_scan); behaviour-level check needed
com/sleepycat/je/incomp	INCompressorTest	testNodeNotEmpty	test/com/sleepycat/je/incomp/INCompressorTest.java	Test that we can handle cases where lazy compression runs first, but the daemon handles pruning.	NOT-PORTED			medium	medium	no matching test by name (snake=node_not_empty); behaviour-level check needed
