je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/logversion	LogEntryVersionTest	test_1_5_4	test/com/sleepycat/je/logversion/LogEntryVersionTest.java		OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
com/sleepycat/je/logversion	LogEntryVersionTest	test_1_7_0	test/com/sleepycat/je/logversion/LogEntryVersionTest.java		OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
com/sleepycat/je/logversion	LogEntryVersionTest	test_2_0_0	test/com/sleepycat/je/logversion/LogEntryVersionTest.java	JE 2.0: FileHeader version 3.	OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
com/sleepycat/je/logversion	LogEntryVersionTest	test_3_0_12	test/com/sleepycat/je/logversion/LogEntryVersionTest.java	JE 3.0.12: FileHeader version 4.	OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
com/sleepycat/je/logversion	LogEntryVersionTest	test_3_2_79	test/com/sleepycat/je/logversion/LogEntryVersionTest.java	JE 3.2.79: FileHeader version 5.	OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
com/sleepycat/je/logversion	LogEntryVersionTest	test_3_3_78	test/com/sleepycat/je/logversion/LogEntryVersionTest.java	JE 3.3.78: FileHeader version 5.	OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
com/sleepycat/je/logversion	LogEntryVersionTest	test_4_0_51	test/com/sleepycat/je/logversion/LogEntryVersionTest.java		OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
com/sleepycat/je/logversion	LogEntryVersionTest	test_5_0_39	test/com/sleepycat/je/logversion/LogEntryVersionTest.java		OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
com/sleepycat/je/logversion	LogEntryVersionTest	test_6_0_13	test/com/sleepycat/je/logversion/LogEntryVersionTest.java		OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
com/sleepycat/je/logversion	LogEntryVersionTest	test_6_2_12	test/com/sleepycat/je/logversion/LogEntryVersionTest.java		OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
com/sleepycat/je/logversion	LogEntryVersionTest	test_6_4_14	test/com/sleepycat/je/logversion/LogEntryVersionTest.java		OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
com/sleepycat/je/logversion	LogEntryVersionTest	test_7_0_6	test/com/sleepycat/je/logversion/LogEntryVersionTest.java		OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
com/sleepycat/je/logversion	LogEntryVersionTest	test_7_1_9	test/com/sleepycat/je/logversion/LogEntryVersionTest.java		OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
com/sleepycat/je/logversion	LogHeaderVersionTest	testGreaterVersionNotAllowed	test/com/sleepycat/je/logversion/LogHeaderVersionTest.java	Tests that an exception is thrown when a log header is read with a newer version than the current version.	OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
com/sleepycat/je/logversion	LogHeaderVersionTest	testLesserVersionNotUpdated	test/com/sleepycat/je/logversion/LogHeaderVersionTest.java	Tests that when a file is opened with a lesser version than the current version, a new log file is started for writing new log entries.	OUT-OF-SCOPE			small	low	JE legacy on-disk log version compatibility; Noxu uses Rust-native .ndb format and is not bytewise compatible with JE logs
