je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/rep/impl/networkRestore	InterruptedNetworkRestoreTest	testBasic	test/com/sleepycat/je/rep/impl/networkRestore/InterruptedNetworkRestoreTest.java	1) Start with a two node group: rg1-rn1(M) and rg1-rn2(R)	PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	medium	name-match heuristic
com/sleepycat/je/rep/impl/networkRestore	NetworkBackupTest	testBackupFiles	test/com/sleepycat/je/rep/impl/networkRestore/NetworkBackupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=backup_files); behaviour-level check needed
com/sleepycat/je/rep/impl/networkRestore	NetworkBackupTest	testConcurrentBackup	test/com/sleepycat/je/rep/impl/networkRestore/NetworkBackupTest.java	Performs a backup while the database is growing actively @throws InterruptedException @throws IOException @throws DatabaseException	NOT-PORTED			medium	medium	no matching test by name (snake=concurrent_backup); behaviour-level check needed
com/sleepycat/je/rep/impl/networkRestore	NetworkBackupTest	testBasicWithRetainLog	test/com/sleepycat/je/rep/impl/networkRestore/NetworkBackupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=basic_with_retain_log); behaviour-level check needed
com/sleepycat/je/rep/impl/networkRestore	NetworkBackupTest	testBasicWithoutRetainLog	test/com/sleepycat/je/rep/impl/networkRestore/NetworkBackupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=basic_without_retain_log); behaviour-level check needed
com/sleepycat/je/rep/impl/networkRestore	NetworkBackupTest	testLeaseBasic	test/com/sleepycat/je/rep/impl/networkRestore/NetworkBackupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=lease_basic); behaviour-level check needed
com/sleepycat/je/rep/impl/networkRestore	NetworkBackupTest	testLeaseExpiration	test/com/sleepycat/je/rep/impl/networkRestore/NetworkBackupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=lease_expiration); behaviour-level check needed
com/sleepycat/je/rep/impl/networkRestore	NetworkRestoreNoMasterTest	testSyncupFailure	test/com/sleepycat/je/rep/impl/networkRestore/NetworkRestoreNoMasterTest.java	Tests a special case of failure recovery with a newly added node as below: 1) Start with a two node group: rg1-rn1(M) and rg1-rn2(R) 2) Add rg1-rn3, which joins as a replica.	NOT-PORTED			large	medium	no matching test by name (snake=syncup_failure); behaviour-level check needed
com/sleepycat/je/rep/impl/networkRestore	NetworkRestoreNoMasterTest	testMissingEnv	test/com/sleepycat/je/rep/impl/networkRestore/NetworkRestoreNoMasterTest.java	This testcase implements the following scenario: 1) Create a 3 node group 2) Stop 2 of the nodes, leaving the group without a master.	NOT-PORTED			medium	medium	no matching test by name (snake=missing_env); behaviour-level check needed
com/sleepycat/je/rep/impl/networkRestore	NetworkRestoreTest	testLogProviders	test/com/sleepycat/je/rep/impl/networkRestore/NetworkRestoreTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=log_providers); behaviour-level check needed
com/sleepycat/je/rep/impl/networkRestore	NetworkRestoreTest	testConfigError	test/com/sleepycat/je/rep/impl/networkRestore/NetworkRestoreTest.java		PORTED-EQUIVALENT	crates/noxu-rep/src/error.rs	test_config_error	small	medium	name-match heuristic
com/sleepycat/je/rep/impl/networkRestore	NetworkRestoreTest	testBasic	test/com/sleepycat/je/rep/impl/networkRestore/NetworkRestoreTest.java	This is really multiple tests in one.	PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	medium	name-match heuristic
com/sleepycat/je/rep/impl/networkRestore	NetworkRestoreTest	testLockout	test/com/sleepycat/je/rep/impl/networkRestore/NetworkRestoreTest.java	This is really multiple tests in one.	NOT-PORTED			medium	medium	no matching test by name (snake=lockout); behaviour-level check needed
com/sleepycat/je/rep/impl/networkRestore	NetworkRestoreTest	testNBAbortOnSyncup	test/com/sleepycat/je/rep/impl/networkRestore/NetworkRestoreTest.java	Verify that a NetworkBackup that's in progress is aborted by repNode.shutdownNetworkRestore() and therefore during a rollback operation.	NOT-PORTED			large	medium	no matching test by name (snake=nb_abort_on_syncup); behaviour-level check needed
com/sleepycat/je/rep/impl/networkRestore	NetworkRestoreTest	testLongVLSNInILE	test/com/sleepycat/je/rep/impl/networkRestore/NetworkRestoreTest.java	Check that NumberFormatException is not thrown when parsing ILE properties and VLSN GT max-int.	NOT-PORTED			large	medium	no matching test by name (snake=long_vlsn_in_ile); behaviour-level check needed
