je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/rep/monitor	MonitorChangeListenerTest	testBasicBehaviors	test/com/sleepycat/je/rep/monitor/MonitorChangeListenerTest.java	Test basic behaviors of MonitorChangeListener.	NOT-PORTED			medium	medium	no matching test by name (snake=basic_behaviors); behaviour-level check needed
com/sleepycat/je/rep/monitor	MonitorChangeListenerTest	testRemoveMember	test/com/sleepycat/je/rep/monitor/MonitorChangeListenerTest.java	Test removeMember which would create GroupChangeEvent, but no LeaveGroupEvents.	NOT-PORTED			medium	medium	no matching test by name (snake=remove_member); behaviour-level check needed
com/sleepycat/je/rep/monitor	MonitorChangeListenerTest	testActiveNodesWhenMonitorStarts	test/com/sleepycat/je/rep/monitor/MonitorChangeListenerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=active_nodes_when_monitor_starts); behaviour-level check needed
com/sleepycat/je/rep/monitor	MonitorChangeListenerTest	testAddSecondaryNode	test/com/sleepycat/je/rep/monitor/MonitorChangeListenerTest.java	Test monitor events when adding a secondary node.	NOT-PORTED			medium	medium	no matching test by name (snake=add_secondary_node); behaviour-level check needed
com/sleepycat/je/rep/monitor	MonitorChangeListenerTest	testReplaceAsSecondaryNode	test/com/sleepycat/je/rep/monitor/MonitorChangeListenerTest.java	Test monitor events when replacing a primary replica with a secondary node that reuses its environment.	NOT-PORTED			medium	medium	no matching test by name (snake=replace_as_secondary_node); behaviour-level check needed
com/sleepycat/je/rep/monitor	MonitorTest	testMonitorDirect	test/com/sleepycat/je/rep/monitor/MonitorTest.java	Test the direct API calls to get the master and group.	NOT-PORTED			medium	medium	no matching test by name (snake=monitor_direct); behaviour-level check needed
com/sleepycat/je/rep/monitor	MonitorTest	testJavadoc	test/com/sleepycat/je/rep/monitor/MonitorTest.java	Make sure code snippet in class javadoc compiles.	NOT-PORTED			medium	medium	no matching test by name (snake=javadoc); behaviour-level check needed
com/sleepycat/je/rep/monitor	MonitorTest	testConvertNodeType	test/com/sleepycat/je/rep/monitor/MonitorTest.java	Convert between ELECTABLE and MONITOR node types.	NOT-PORTED			medium	medium	no matching test by name (snake=convert_node_type); behaviour-level check needed
com/sleepycat/je/rep/monitor	MonitorTest	testOldMonitorSecondary	test/com/sleepycat/je/rep/monitor/MonitorTest.java	Attempt to connect an old monitor that doesn't understand secondary nodes to a group containing a secondary node to check that the version negotiation happens correctly.	NOT-PORTED			medium	medium	no matching test by name (snake=old_monitor_secondary); behaviour-level check needed
com/sleepycat/je/rep/monitor	MonitorTest	testNewMonitor	test/com/sleepycat/je/rep/monitor/MonitorTest.java	Attempt to connect a new monitor to a cluster that doesn't understand secondary nodes, to make sure that the version negotiation happens correctly.	NOT-PORTED			medium	medium	no matching test by name (snake=new_monitor); behaviour-level check needed
com/sleepycat/je/rep/monitor	PingCommandTest	testMissedAddGroupChangeEvents	test/com/sleepycat/je/rep/monitor/PingCommandTest.java	Test behaviors of the underlying Ping thread.	NOT-PORTED			medium	medium	no matching test by name (snake=missed_add_group_change_events); behaviour-level check needed
com/sleepycat/je/rep/monitor	PingCommandTest	testMissedRemoveGroupChangeEvents	test/com/sleepycat/je/rep/monitor/PingCommandTest.java	Test behaviors of the underlying Ping thread.	NOT-PORTED			medium	medium	no matching test by name (snake=missed_remove_group_change_events); behaviour-level check needed
com/sleepycat/je/rep/monitor	PingCommandTest	testMissedJoinGroupEvents	test/com/sleepycat/je/rep/monitor/PingCommandTest.java	Test those missed JoinGroupEvent can be fired through ping thread.	NOT-PORTED			medium	medium	no matching test by name (snake=missed_join_group_events); behaviour-level check needed
com/sleepycat/je/rep/monitor	PingCommandTest	testAbnormalClose	test/com/sleepycat/je/rep/monitor/PingCommandTest.java	Before Ping thread is enabled, abnormal close won't fire a LeaveGroupEvent, now they should be fired by Ping thread.	NOT-PORTED			medium	medium	no matching test by name (snake=abnormal_close); behaviour-level check needed
com/sleepycat/je/rep/monitor	PingCommandTest	testReplicationGroupAdmin	test/com/sleepycat/je/rep/monitor/PingCommandTest.java	Test those two new utility methods added in ReplicationGroupAdmin.	NOT-PORTED			large	medium	no matching test by name (snake=replication_group_admin); behaviour-level check needed
com/sleepycat/je/rep/monitor	PingCommandTest	testKillReplicas	test/com/sleepycat/je/rep/monitor/PingCommandTest.java	Test whether the Ping thread can notify a LeaveGroupEvent for a suddenly exited node.	NOT-PORTED			medium	medium	no matching test by name (snake=kill_replicas); behaviour-level check needed
com/sleepycat/je/rep/monitor	ProtocolTest	testJEVersionVersioning	test/com/sleepycat/je/rep/monitor/ProtocolTest.java	Test parsing messages with version differences between the message and the protocol for the change to add the jeVersion field to the RepNodeImpl class.	NOT-PORTED			medium	medium	no matching test by name (snake=je_version_versioning); behaviour-level check needed
