je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/rep/stream	FeederFilterTest	testBlockFilter	test/com/sleepycat/je/rep/stream/FeederFilterTest.java	Test to verify the filter is actually passed to feeder and is running at feeder.	NOT-PORTED			medium	medium	no matching test by name (snake=block_filter); behaviour-level check needed
com/sleepycat/je/rep/stream	FeederFilterTest	testNoOpFilter	test/com/sleepycat/je/rep/stream/FeederFilterTest.java	Test that uses a filter pass everything, so the rep group is expected to be created normally.	PORTED-PARTIAL	crates/noxu-rep/tests/je_rep_stream_tck.rs	feeder_filter_no_op_baseline	medium	medium	wave 8: no-filter baseline (noxu lacks pluggable feeder filters)
com/sleepycat/je/rep/stream	FeederFilterTest	testFilterWithStatistics	test/com/sleepycat/je/rep/stream/FeederFilterTest.java	Test that uses a filter pass everything, and also tracks the statistics which are used for verification.	PORTED-PARTIAL	crates/noxu-rep/tests/je_rep_stream_tck.rs	feeder_no_silent_drops_under_replication	medium	medium	wave 8: silent-drop check
com/sleepycat/je/rep/stream	FeederReaderTest	testForwardScans	test/com/sleepycat/je/rep/stream/FeederReaderTest.java	Check that we can retrieve the correct results when doing forward scans.	PORTED-PARTIAL	crates/noxu-rep/tests/je_rep_stream_tck.rs	forward_scan_replicas_see_every_entry	medium	medium	wave 8: VLSN coverage subset
com/sleepycat/je/rep/stream	FeederReaderTest	testWait	test/com/sleepycat/je/rep/stream/FeederReaderTest.java	Check that we can wait for an upcoming VLSN when doing forward scans.	NOT-PORTED			large	medium	no matching test by name (snake=wait); behaviour-level check needed
com/sleepycat/je/rep/stream	FeederReaderTest	testBackwardScans	test/com/sleepycat/je/rep/stream/FeederReaderTest.java	Check that we can retrieve the correct results when doing backwards scans.	PORTED-PARTIAL	crates/noxu-rep/tests/je_rep_stream_tck.rs	vlsn_range_first_and_last_are_consistent	medium	medium	wave 8: VLSN range invariant subset
com/sleepycat/je/rep/stream	FeederReaderTest	testFindSyncableentries	test/com/sleepycat/je/rep/stream/FeederReaderTest.java	Check that we can find the sync-able matchpoints when doing backward scans.	PORTED-PARTIAL	crates/noxu-rep/tests/je_rep_stream_tck.rs	replica_catch_up_starts_at_correct_vlsn	medium	medium	wave 8: catch-up start-VLSN subset
com/sleepycat/je/rep/stream	FeederReaderTest	testNonFlushedFetch	test/com/sleepycat/je/rep/stream/FeederReaderTest.java	Test that a feeder reader can read log entries that have not yet been flushed to disk.	NOT-PORTED			medium	medium	no matching test by name (snake=non_flushed_fetch); behaviour-level check needed
com/sleepycat/je/rep/stream	FeederReaderTest	testSwitchFetch	test/com/sleepycat/je/rep/stream/FeederReaderTest.java	Test that a feeder reader can switch between reading from the log buffer pool, to the file, to the logBuffer pool, and back and forth.	NOT-PORTED			medium	medium	no matching test by name (snake=switch_fetch); behaviour-level check needed
com/sleepycat/je/rep/stream	FeederWriteQueueTest	testDataInWriteQueue	test/com/sleepycat/je/rep/stream/FeederWriteQueueTest.java	[#18882] Before this bug fix, this test would result in a java.io.FileNotFoundException out of FeederReader$SwitchWindow.fillNext.	PORTED-PARTIAL	crates/noxu-rep/tests/je_rep_stream_tck.rs	write_queue_preserves_vlsn_order	medium	medium	wave 8: VLSN-order subset
com/sleepycat/je/rep/stream	ProtocolTest	testBasic	test/com/sleepycat/je/rep/stream/ProtocolTest.java		PORTED-PARTIAL	crates/noxu-rep/tests/je_rep_stream_tck.rs	protocol_basic_full_fan_out	small	medium	wave 8: fan-out smoke test
com/sleepycat/je/rep/stream	ProtocolTest	testVersion	test/com/sleepycat/je/rep/stream/ProtocolTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=version); behaviour-level check needed
com/sleepycat/je/rep/stream	ProtocolTest	testWritePreviousVersionOlderConvert	test/com/sleepycat/je/rep/stream/ProtocolTest.java	Test that writing a message containing a log entry where the requested log format version is less than both the current log version and the log entry version results in converting the entry to the req	NOT-PORTED			medium	medium	no matching test by name (snake=write_previous_version_older_convert); behaviour-level check needed
com/sleepycat/je/rep/stream	ProtocolTest	testWritePreviousVersionCompatibleCopy	test/com/sleepycat/je/rep/stream/ProtocolTest.java	Test that writing a message containing a log entry where the requested log format version is less than the current log version but is compatible with the requested version results in the entry being c	NOT-PORTED			medium	medium	no matching test by name (snake=write_previous_version_compatible_copy); behaviour-level check needed
com/sleepycat/je/rep/stream	ProtocolTest	testNodeGroupInfoNoJEVersion	test/com/sleepycat/je/rep/stream/ProtocolTest.java	Test reading a NodeGroupInfo object using the format that does not support the jeVersion field.	NOT-PORTED			medium	medium	no matching test by name (snake=node_group_info_no_je_version); behaviour-level check needed
com/sleepycat/je/rep/stream	ProtocolTest	testNodeGroupInfoSecondaryToOldMaster	test/com/sleepycat/je/rep/stream/ProtocolTest.java	Test sending a SECONDARY node to a master running a protocol version that does not support them.	NOT-PORTED			medium	medium	no matching test by name (snake=node_group_info_secondary_to_old_master); behaviour-level check needed
com/sleepycat/je/rep/stream	ReplicaSyncupReaderTest	testRepAndNonRepCommits	test/com/sleepycat/je/rep/stream/ReplicaSyncupReaderTest.java		PORTED-EQUIVALENT	crates/noxu-rep/tests/je_rep_stream_tck.rs	syncup_distinguishes_replicated_vs_master_only	medium	medium	wave 8: ported via RepTestBase harness
com/sleepycat/je/rep/stream	ReplicaSyncupReaderTest	testMultipleCkpts	test/com/sleepycat/je/rep/stream/ReplicaSyncupReaderTest.java		PORTED-PARTIAL	crates/noxu-rep/tests/je_rep_stream_tck.rs	multiple_checkpoint_chunks_replicate_cleanly	medium	medium	wave 8: multi-chunk fan-out subset (no on-disk checkpoints)
