je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/rep/subscription	EntryRequestTypeTest	testNoCleaning	test/com/sleepycat/je/rep/subscription/EntryRequestTypeTest.java	Without any cleaning, all modes should succeed.	NOT-PORTED			medium	medium	no matching test by name (snake=no_cleaning); behaviour-level check needed
com/sleepycat/je/rep/subscription	EntryRequestTypeTest	testCleaning	test/com/sleepycat/je/rep/subscription/EntryRequestTypeTest.java	With log cleaning @throws Exception if test fails	NOT-PORTED			medium	medium	no matching test by name (snake=cleaning); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionConfigTest	testInitialziedParameters	test/com/sleepycat/je/rep/subscription/SubscriptionConfigTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=initialzied_parameters); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionConfigTest	testNodeType	test/com/sleepycat/je/rep/subscription/SubscriptionConfigTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=node_type); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionConfigTest	testSetParameters	test/com/sleepycat/je/rep/subscription/SubscriptionConfigTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=set_parameters); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionConfigTest	testFeederFilter	test/com/sleepycat/je/rep/subscription/SubscriptionConfigTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=feeder_filter); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionConfigTest	testCallback	test/com/sleepycat/je/rep/subscription/SubscriptionConfigTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=callback); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionConfigTest	testMissingParameters	test/com/sleepycat/je/rep/subscription/SubscriptionConfigTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=missing_parameters); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionConfigTest	testStreamMode	test/com/sleepycat/je/rep/subscription/SubscriptionConfigTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=stream_mode); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionTest	testSubscriptionBasic	test/com/sleepycat/je/rep/subscription/SubscriptionTest.java	Testcase of subscribing from the very beginning of VLSN.	NOT-PORTED			large	medium	no matching test by name (snake=subscription_basic); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionTest	testSubscriptionGroupUUID	test/com/sleepycat/je/rep/subscription/SubscriptionTest.java	Similar test case to testSubscriptionBasic except that a rep group uuid is tested in configuration.	NOT-PORTED			medium	medium	no matching test by name (snake=subscription_group_uuid); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionTest	testDummyEnvNodeType	test/com/sleepycat/je/rep/subscription/SubscriptionTest.java	Test that the dummy env created by subscription is a secondary node @throws Exception if test fails	NOT-PORTED			medium	medium	no matching test by name (snake=dummy_env_node_type); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionTest	testSubscriptionFromVLSN	test/com/sleepycat/je/rep/subscription/SubscriptionTest.java	Testcase of subscribing from a particular VLSN.	NOT-PORTED			large	medium	no matching test by name (snake=subscription_from_vlsn); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionTest	testSubscriptionSSL	test/com/sleepycat/je/rep/subscription/SubscriptionTest.java	Tests Subscription configured with SSL.	NOT-PORTED			medium	medium	no matching test by name (snake=subscription_ssl); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionTest	testInvalidStartVLSN	test/com/sleepycat/je/rep/subscription/SubscriptionTest.java	Testcase of subscribing from a NULL VLSN.	NOT-PORTED			large	medium	no matching test by name (snake=invalid_start_vlsn); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionTest	testSubscriptionUnavailableVLSN	test/com/sleepycat/je/rep/subscription/SubscriptionTest.java	Testcase that if the start VLSN to subscribe the replication stream has been cleaned by cleaner and no longer available in the VLSN index at the time of subscription.	NOT-PORTED			large	medium	no matching test by name (snake=subscription_unavailable_vlsn); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionTest	testTxnCommitsAndAborts	test/com/sleepycat/je/rep/subscription/SubscriptionTest.java	Testcase that subscription callback is able to process commits and aborts from feeder.	NOT-PORTED			medium	medium	no matching test by name (snake=txn_commits_and_aborts); behaviour-level check needed
com/sleepycat/je/rep/subscription	SubscriptionTest	testExceptionHandling	test/com/sleepycat/je/rep/subscription/SubscriptionTest.java	Testcase that subscription callback is able to process an exception.	NOT-PORTED			medium	medium	no matching test by name (snake=exception_handling); behaviour-level check needed
