je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/rep	CheckAccessTest	testBasicConfig	test/com/sleepycat/je/rep/CheckAccessTest.java	Sanity check that no SSL works.	NOT-PORTED			medium	medium	no matching test by name (snake=basic_config); behaviour-level check needed
com/sleepycat/je/rep	CheckAccessTest	testSSLOnlyConfig	test/com/sleepycat/je/rep/CheckAccessTest.java	Test that SSL works.	NOT-PORTED			medium	medium	no matching test by name (snake=ssl_only_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testEnvNonTransactionalConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	Replicated environments do not support non transactional mode.	NOT-PORTED			large	medium	no matching test by name (snake=env_non_transactional_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testEnvNoLockingConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	A configuration of transactional + noLocking is invalid.	NOT-PORTED			medium	medium	no matching test by name (snake=env_no_locking_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testEnvReadOnlyConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	ReadOnly = true should be accepted.	NOT-PORTED			medium	medium	no matching test by name (snake=env_read_only_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testEnvAllowCreateFalseConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	AllowCreate = false should be accepted.	NOT-PORTED			medium	medium	no matching test by name (snake=env_allow_create_false_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testEnvSharedCacheConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	SharedCache = true should be accepted.	NOT-PORTED			medium	medium	no matching test by name (snake=env_shared_cache_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testEnvSerializableConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	Serializable isolation = true should be accepted.	NOT-PORTED			medium	medium	no matching test by name (snake=env_serializable_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testBadHelperHost	test/com/sleepycat/je/rep/CheckConfigTest.java	Check that a bad helper host is accepted.	NOT-PORTED			medium	medium	no matching test by name (snake=bad_helper_host); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testDbAllowCreateFalseConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	AllowCreate = false should be accepted.	NOT-PORTED			medium	medium	no matching test by name (snake=db_allow_create_false_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testDbNonTransactionalConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	Replicated datatabases do not support non transactional mode.	NOT-PORTED			large	medium	no matching test by name (snake=db_non_transactional_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testDbDeferredWriteConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	A database configuration of transactional + deferredWrite is invalid.	NOT-PORTED			medium	medium	no matching test by name (snake=db_deferred_write_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testDbTemporaryConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	A database configuration of transactional + temporary is invalid.	NOT-PORTED			medium	medium	no matching test by name (snake=db_temporary_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testDbExclusiveCreateConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	ExclusiveCreate = true should be accepted on the master.	NOT-PORTED			medium	medium	no matching test by name (snake=db_exclusive_create_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testDbKeyPrefixingConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	KeyPrefixing = true should be accpted.	NOT-PORTED			medium	medium	no matching test by name (snake=db_key_prefixing_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testDbReadOnlyConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	ReadOnly = true should be accpted.	NOT-PORTED			medium	medium	no matching test by name (snake=db_read_only_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testDbSortedDuplicatesConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	SortedDuplicates = true should be accpted.	NOT-PORTED			medium	medium	no matching test by name (snake=db_sorted_duplicates_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testDbOverideBtreeComparatorConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	OverrideBtreeComparator = true should be accepted.	NOT-PORTED			medium	medium	no matching test by name (snake=db_overide_btree_comparator_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testDbOverrideDuplicateComparatorConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	OverrideDuplicatComparator = true should be accepted.	NOT-PORTED			medium	medium	no matching test by name (snake=db_override_duplicate_comparator_config); behaviour-level check needed
com/sleepycat/je/rep	CheckConfigTest	testDbUseExistingConfig	test/com/sleepycat/je/rep/CheckConfigTest.java	UseExistingConfig = true should be accepted.	NOT-PORTED			medium	medium	no matching test by name (snake=db_use_existing_config); behaviour-level check needed
com/sleepycat/je/rep	CommitPointConsistencyPolicyTest	testCommitPointConsistencyOnOpen	test/com/sleepycat/je/rep/CommitPointConsistencyPolicyTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=commit_point_consistency_on_open); behaviour-level check needed
com/sleepycat/je/rep	CommitPointConsistencyPolicyTest	testVLSNConsistencyJoinGroup	test/com/sleepycat/je/rep/CommitPointConsistencyPolicyTest.java		NOT-PORTED			large	medium	no matching test by name (snake=vlsn_consistency_join_group); behaviour-level check needed
com/sleepycat/je/rep	ConversionTest	testNoStandaloneReopen	test/com/sleepycat/je/rep/ConversionTest.java	Check that an environment which is opened for replication cannot be re-opened as a standalone environment in r/w mode	NOT-PORTED			large	medium	no matching test by name (snake=no_standalone_reopen); behaviour-level check needed
com/sleepycat/je/rep	ConversionTest	testStandaloneRO	test/com/sleepycat/je/rep/ConversionTest.java	Check that an environment which is opened for replication can also be opened as a standalone r/o environment.	NOT-PORTED			large	medium	no matching test by name (snake=standalone_ro); behaviour-level check needed
com/sleepycat/je/rep	ConversionTest	testStandaloneUtility	test/com/sleepycat/je/rep/ConversionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=standalone_utility); behaviour-level check needed
com/sleepycat/je/rep	DatabaseOperationTest	testBasic	test/com/sleepycat/je/rep/DatabaseOperationTest.java	Check that master->replica replication of database operations work.	PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	medium	name-match heuristic
com/sleepycat/je/rep	DatabaseOperationTest	testDatabaseConfigUpdates	test/com/sleepycat/je/rep/DatabaseOperationTest.java	Check that master->replica replication of database operations work.	NOT-PORTED			large	medium	no matching test by name (snake=database_config_updates); behaviour-level check needed
com/sleepycat/je/rep	DatabaseOperationTest	testMasterUpdateWhileReplicaReading	test/com/sleepycat/je/rep/DatabaseOperationTest.java	Check that master->replica replication of database operations work.	NOT-PORTED			large	medium	no matching test by name (snake=master_update_while_replica_reading); behaviour-level check needed
com/sleepycat/je/rep	DatabaseOperationTest	testCascade	test/com/sleepycat/je/rep/DatabaseOperationTest.java	Check that master->replica replication of database operations work, and also verify that the client has logged enough information to act as the master later on.	NOT-PORTED			large	medium	no matching test by name (snake=cascade); behaviour-level check needed
com/sleepycat/je/rep	DatabaseOperationTest	testDbNameOpReplicaWriteException	test/com/sleepycat/je/rep/DatabaseOperationTest.java	Check that ReplicaWriteException occurs when doing a DB name operation (rename, remove, truncate) on a replica, but that it can later be done if that node is elected master.	NOT-PORTED			medium	medium	no matching test by name (snake=db_name_op_replica_write_exception); behaviour-level check needed
com/sleepycat/je/rep	DatabaseOperationTest	testLocalDatabases	test/com/sleepycat/je/rep/DatabaseOperationTest.java	Check that local (non-replicated) databases are not replicated.	NOT-PORTED			large	medium	no matching test by name (snake=local_databases); behaviour-level check needed
com/sleepycat/je/rep	DatabaseOperationTest	testLocalStoreNoConsistency	test/com/sleepycat/je/rep/DatabaseOperationTest.java	Check that with a local (non-replicated) EntityStore, auto-commit transactions do not check replication consistency.	NOT-PORTED			large	medium	no matching test by name (snake=local_store_no_consistency); behaviour-level check needed
com/sleepycat/je/rep	ElectableGroupSizeOverrideTest	testBasic	test/com/sleepycat/je/rep/ElectableGroupSizeOverrideTest.java		PORTED-EQUIVALENT	crates/noxu-rep/tests/je_rep_top_level_tck.rs	electable_group_size_override_quorum	small	medium	wave 8: re-ported (was placeholder); tests Flexible quorum policy
