je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/rep/util/ldiff	BlockBagTest	testGetAfterRemove	test/com/sleepycat/je/rep/util/ldiff/BlockBagTest.java	A get() following a remove() shouldn't return any removed blocks.	NOT-PORTED			medium	medium	no matching test by name (snake=get_after_remove); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	BlockBagTest	testGetMultiple	test/com/sleepycat/je/rep/util/ldiff/BlockBagTest.java	Insert blocks with identical checksums, make sure get() returns them all in insertion order.	NOT-PORTED			medium	medium	no matching test by name (snake=get_multiple); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	BlockBagTest	testGetNonexistent	test/com/sleepycat/je/rep/util/ldiff/BlockBagTest.java	If a checksum does not exist in the bag, a null should be returned	PORTED-EQUIVALENT	crates/noxu-collections/src/stored_list.rs	test_get_nonexistent	small	medium	name-match heuristic; 4 candidate Noxu tests
com/sleepycat/je/rep/util/ldiff	BlockBagTest	testIterable	test/com/sleepycat/je/rep/util/ldiff/BlockBagTest.java	The for ( : ) construct should iterate over blocks in insertion order	NOT-PORTED			medium	medium	no matching test by name (snake=iterable); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	BlockBagTest	testIterableAfterDelete	test/com/sleepycat/je/rep/util/ldiff/BlockBagTest.java	The for ( : ) construct shouldn't return deleted items.	NOT-PORTED			medium	medium	no matching test by name (snake=iterable_after_delete); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	BlockBagTest	testIterator	test/com/sleepycat/je/rep/util/ldiff/BlockBagTest.java	The typical iterator usage should return items in insertion order.	NOT-PORTED			medium	medium	no matching test by name (snake=iterator); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	BlockBagTest	testIteratorAfterDelete	test/com/sleepycat/je/rep/util/ldiff/BlockBagTest.java	The typical iterator usage should not return deleted items	NOT-PORTED			medium	medium	no matching test by name (snake=iterator_after_delete); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	BlockBagTest	testRemoveAll	test/com/sleepycat/je/rep/util/ldiff/BlockBagTest.java	Populate a bag and then immediately remove everything.	NOT-PORTED			medium	medium	no matching test by name (snake=remove_all); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	BlockBagTest	testRemoveSomeThenAll	test/com/sleepycat/je/rep/util/ldiff/BlockBagTest.java	Test removeAll() after some items have been deleted.	NOT-PORTED			medium	medium	no matching test by name (snake=remove_some_then_all); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	BlockBagTest	testRemoveUnmatched	test/com/sleepycat/je/rep/util/ldiff/BlockBagTest.java	Removing a block removes all blocks inserted before it as well.	NOT-PORTED			medium	medium	no matching test by name (snake=remove_unmatched); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffServiceTest	testSame	test/com/sleepycat/je/rep/util/ldiff/LDiffServiceTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=same); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffServiceTest	testExtraLocalData	test/com/sleepycat/je/rep/util/ldiff/LDiffServiceTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=extra_local_data); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffServiceTest	testExtraRemoteData	test/com/sleepycat/je/rep/util/ldiff/LDiffServiceTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=extra_remote_data); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffServiceTest	testDifferentData	test/com/sleepycat/je/rep/util/ldiff/LDiffServiceTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=different_data); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffServiceTest	testNonExistentDb	test/com/sleepycat/je/rep/util/ldiff/LDiffServiceTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=non_existent_db); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffServiceTest	testEmptyRemoteDb	test/com/sleepycat/je/rep/util/ldiff/LDiffServiceTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=empty_remote_db); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffServiceTest	testSameEnvs	test/com/sleepycat/je/rep/util/ldiff/LDiffServiceTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=same_envs); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffServiceTest	testEnvsWithDifferentData	test/com/sleepycat/je/rep/util/ldiff/LDiffServiceTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=envs_with_different_data); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffServiceTest	testEnvsWithExtraLocalDatabase	test/com/sleepycat/je/rep/util/ldiff/LDiffServiceTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=envs_with_extra_local_database); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffServiceTest	testEnvsWithExtraRemoteDatabase	test/com/sleepycat/je/rep/util/ldiff/LDiffServiceTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=envs_with_extra_remote_database); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffServiceTest	testAdditional	test/com/sleepycat/je/rep/util/ldiff/LDiffServiceTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=additional); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffServiceTest	testDifferentArea	test/com/sleepycat/je/rep/util/ldiff/LDiffServiceTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=different_area); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffTest	testEnvSameDb	test/com/sleepycat/je/rep/util/ldiff/LDiffTest.java	Two environments with identical dbs should be equal.	NOT-PORTED			medium	medium	no matching test by name (snake=env_same_db); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffTest	testEnvDifferentName	test/com/sleepycat/je/rep/util/ldiff/LDiffTest.java	Two environments with identical dbs with different names should not be equal.	NOT-PORTED			medium	medium	no matching test by name (snake=env_different_name); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffTest	testEnvDifferentDb	test/com/sleepycat/je/rep/util/ldiff/LDiffTest.java	Two environments with different dbs should not be equal.	NOT-PORTED			medium	medium	no matching test by name (snake=env_different_db); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffTest	testEnvDifferentNumDbs	test/com/sleepycat/je/rep/util/ldiff/LDiffTest.java	Two environments with different numbers of dbs should not be equal.	NOT-PORTED			medium	medium	no matching test by name (snake=env_different_num_dbs); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffTest	testEnvMultipleDbs	test/com/sleepycat/je/rep/util/ldiff/LDiffTest.java	Two environments with multiple identical dbs should be equal.	NOT-PORTED			medium	medium	no matching test by name (snake=env_multiple_dbs); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffTest	testEmptyDbs	test/com/sleepycat/je/rep/util/ldiff/LDiffTest.java	LDiff of two empty databases should succeed.	NOT-PORTED			medium	medium	no matching test by name (snake=empty_dbs); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffTest	testSameDb	test/com/sleepycat/je/rep/util/ldiff/LDiffTest.java	LDiff of a database against itself should succeed.	NOT-PORTED			medium	medium	no matching test by name (snake=same_db); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffTest	testUpdatedDbs	test/com/sleepycat/je/rep/util/ldiff/LDiffTest.java	Get a bag of blocks from a database, update the database and then diff it against the bag of blocks.	NOT-PORTED			medium	medium	no matching test by name (snake=updated_dbs); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffTest	testDifferentDbs	test/com/sleepycat/je/rep/util/ldiff/LDiffTest.java	Create two identical databases, remove and then reinsert all the records from one, creating two databases with the same data but different structure.	NOT-PORTED			medium	medium	no matching test by name (snake=different_dbs); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffTest	testAdditional	test/com/sleepycat/je/rep/util/ldiff/LDiffTest.java	Create two identical databases, remove and then reinsert all the records from one, creating two databases with the same data but different structure.	NOT-PORTED			medium	medium	no matching test by name (snake=additional); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffTest	testDifferentArea	test/com/sleepycat/je/rep/util/ldiff/LDiffTest.java	Create two identical databases, remove and then reinsert all the records from one, creating two databases with the same data but different structure.	NOT-PORTED			medium	medium	no matching test by name (snake=different_area); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	LDiffUtilTest	testPlaceHolder	test/com/sleepycat/je/rep/util/ldiff/LDiffUtilTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=place_holder); behaviour-level check needed
com/sleepycat/je/rep/util/ldiff	ProtocolTest	testBasic	test/com/sleepycat/je/rep/util/ldiff/ProtocolTest.java		PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	medium	name-match heuristic
com/sleepycat/je/rep/util/ldiff	RemoteProcessingTest	testPlaceHolder	test/com/sleepycat/je/rep/util/ldiff/RemoteProcessingTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=place_holder); behaviour-level check needed
