je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/rep/util	DbGroupAdminTest	testRemoveMember	test/com/sleepycat/je/rep/util/DbGroupAdminTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=remove_member); behaviour-level check needed
com/sleepycat/je/rep/util	DbGroupAdminTest	testMastershipTransfer	test/com/sleepycat/je/rep/util/DbGroupAdminTest.java	Create a monitor node, using the node ID and port after the last one in repEnvInfo, and return it.	NOT-PORTED			medium	medium	no matching test by name (snake=mastership_transfer); behaviour-level check needed
com/sleepycat/je/rep/util	DbGroupAdminTest	testUpdateAddress	test/com/sleepycat/je/rep/util/DbGroupAdminTest.java	Create a monitor node, using the node ID and port after the last one in repEnvInfo, and return it.	NOT-PORTED			medium	medium	no matching test by name (snake=update_address); behaviour-level check needed
com/sleepycat/je/rep/util	DbGroupAdminTest	testReplicationGroupAdmin	test/com/sleepycat/je/rep/util/DbGroupAdminTest.java	Create a monitor node, using the node ID and port after the last one in repEnvInfo, and return it.	NOT-PORTED			large	medium	no matching test by name (snake=replication_group_admin); behaviour-level check needed
com/sleepycat/je/rep/util	DbGroupAdminTest	testDumpGroupNoMonitorNoSecondary	test/com/sleepycat/je/rep/util/DbGroupAdminTest.java	Test the dumpGroup with just electable nodes.	NOT-PORTED			medium	medium	no matching test by name (snake=dump_group_no_monitor_no_secondary); behaviour-level check needed
com/sleepycat/je/rep/util	DbGroupAdminTest	testDumpGroupMonitorSecondary	test/com/sleepycat/je/rep/util/DbGroupAdminTest.java	Test the dumpGroup with monitor and secondary nodes.	NOT-PORTED			medium	medium	no matching test by name (snake=dump_group_monitor_secondary); behaviour-level check needed
com/sleepycat/je/rep/util	DbGroupAdminTest	testNetConfigCtor	test/com/sleepycat/je/rep/util/DbGroupAdminTest.java	Test the dumpGroup with monitor and secondary nodes.	NOT-PORTED			medium	medium	no matching test by name (snake=net_config_ctor); behaviour-level check needed
com/sleepycat/je/rep/util	DbGroupAdminTest	testNetPropertiesFileCtor	test/com/sleepycat/je/rep/util/DbGroupAdminTest.java	Test the dumpGroup with monitor and secondary nodes.	NOT-PORTED			medium	medium	no matching test by name (snake=net_properties_file_ctor); behaviour-level check needed
com/sleepycat/je/rep/util	DbGroupAdminTest	testNetPropsCommandLine	test/com/sleepycat/je/rep/util/DbGroupAdminTest.java	Test the dumpGroup with monitor and secondary nodes.	NOT-PORTED			medium	medium	no matching test by name (snake=net_props_command_line); behaviour-level check needed
com/sleepycat/je/rep/util	DbPingTest	testDbPingNetProps	test/com/sleepycat/je/rep/util/DbPingTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=db_ping_net_props); behaviour-level check needed
