je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/rep/utilint/net	SSLChannelTest	testSmallPackets	test/com/sleepycat/je/rep/utilint/net/SSLChannelTest.java	Tests initiation of connections with packet delivery using a sequence of small packets	NOT-PORTED			medium	medium	no matching test by name (snake=small_packets); behaviour-level check needed
com/sleepycat/je/rep/utilint/net	SSLChannelTest	testBasicThroughput	test/com/sleepycat/je/rep/utilint/net/SSLChannelTest.java	Force thoughput testing to be sure it doesn't bit rot.	NOT-PORTED			medium	medium	no matching test by name (snake=basic_throughput); behaviour-level check needed
com/sleepycat/je/rep/utilint/net	SSLChannelTest	testSmallThroughput	test/com/sleepycat/je/rep/utilint/net/SSLChannelTest.java	Tests throughput by sending packets in only one direction with "smallish" packets.	NOT-PORTED			medium	medium	no matching test by name (snake=small_throughput); behaviour-level check needed
com/sleepycat/je/rep/utilint/net	SSLChannelTest	testMediumPackets	test/com/sleepycat/je/rep/utilint/net/SSLChannelTest.java	Tests initiation of connections with packet delivery using a sequence of medium sized packets	NOT-PORTED			medium	medium	no matching test by name (snake=medium_packets); behaviour-level check needed
com/sleepycat/je/rep/utilint/net	SSLChannelTest	testLargePackets	test/com/sleepycat/je/rep/utilint/net/SSLChannelTest.java	Tests initiation of connections with packet delivery using a sequence of largepackets	NOT-PORTED			medium	medium	no matching test by name (snake=large_packets); behaviour-level check needed
com/sleepycat/je/rep/utilint/net	SSLChannelTest	testHugePackets	test/com/sleepycat/je/rep/utilint/net/SSLChannelTest.java	Tests initiation of connections with packet delivery using a sequence of huge packets.	NOT-PORTED			medium	medium	no matching test by name (snake=huge_packets); behaviour-level check needed
com/sleepycat/je/rep/utilint/net	SSLChannelTest	testHugeThroughput	test/com/sleepycat/je/rep/utilint/net/SSLChannelTest.java	Tests througput by sending packets in only one direction with "huge" packets.	NOT-PORTED			medium	medium	no matching test by name (snake=huge_throughput); behaviour-level check needed
com/sleepycat/je/rep/utilint/net	SSLChannelTest	testPeerPatternAuthentication	test/com/sleepycat/je/rep/utilint/net/SSLChannelTest.java	Tests peer authentication with pattern authentication	NOT-PORTED			medium	medium	no matching test by name (snake=peer_pattern_authentication); behaviour-level check needed
com/sleepycat/je/rep/utilint/net	SSLChannelTest	testPeerMirrorAuthentication	test/com/sleepycat/je/rep/utilint/net/SSLChannelTest.java	Tests peer authentication with basic mirror authentication	NOT-PORTED			medium	medium	no matching test by name (snake=peer_mirror_authentication); behaviour-level check needed
com/sleepycat/je/rep/utilint/net	SSLChannelTest	testStdHostVerification	test/com/sleepycat/je/rep/utilint/net/SSLChannelTest.java	Tests server verification with standard verification.	NOT-PORTED			medium	medium	no matching test by name (snake=std_host_verification); behaviour-level check needed
com/sleepycat/je/rep/utilint/net	SSLChannelTest	testProtosAndCiphers	test/com/sleepycat/je/rep/utilint/net/SSLChannelTest.java	Tests that we can set cipher suites and protocols.	NOT-PORTED			medium	medium	no matching test by name (snake=protos_and_ciphers); behaviour-level check needed
com/sleepycat/je/rep/utilint/net	SSLChannelTest	testKeyStorePasswordSource	test/com/sleepycat/je/rep/utilint/net/SSLChannelTest.java	Tests the keystore password source mechanism for keystore access	NOT-PORTED			medium	medium	no matching test by name (snake=key_store_password_source); behaviour-level check needed
com/sleepycat/je/rep/utilint/net	SSLChannelTest	testLoadedKeyStorePasswordSource	test/com/sleepycat/je/rep/utilint/net/SSLChannelTest.java	Tests the keystore password source loading mechanism for keystore access	NOT-PORTED			medium	medium	no matching test by name (snake=loaded_key_store_password_source); behaviour-level check needed
com/sleepycat/je/rep/utilint/net	SSLMultiThreadTest	TestWritesBeforeReads	test/com/sleepycat/je/rep/utilint/net/SSLMultiThreadTest.java	This test exercises a case that can occur with JE HA feeders, where there are separate threads for read and write.	NOT-PORTED			medium	medium	no matching test by name (snake=test_writes_before_reads); behaviour-level check needed
