je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/rep/utilint	HandshakeTest	testBasicConfig	test/com/sleepycat/je/rep/utilint/HandshakeTest.java	Sanity check that no authentication works.	NOT-PORTED			medium	medium	no matching test by name (snake=basic_config); behaviour-level check needed
com/sleepycat/je/rep/utilint	HandshakeTest	testPwAuth	test/com/sleepycat/je/rep/utilint/HandshakeTest.java	Try authentication with our test password authentication implemenation.	NOT-PORTED			medium	medium	no matching test by name (snake=pw_auth); behaviour-level check needed
com/sleepycat/je/rep/utilint	HandshakeTest	testNoAuthProvided	test/com/sleepycat/je/rep/utilint/HandshakeTest.java	Test no authentication provided when authentication is required.	NOT-PORTED			medium	medium	no matching test by name (snake=no_auth_provided); behaviour-level check needed
com/sleepycat/je/rep/utilint	HandshakeTest	testNoCommonAuth	test/com/sleepycat/je/rep/utilint/HandshakeTest.java	Test no common authentication provided when authentication is required.	NOT-PORTED			medium	medium	no matching test by name (snake=no_common_auth); behaviour-level check needed
com/sleepycat/je/rep/utilint	HandshakeTest	testfailedAuth	test/com/sleepycat/je/rep/utilint/HandshakeTest.java	Test failed authentication	NOT-PORTED			medium	medium	no matching test by name (snake=testfailed_auth); behaviour-level check needed
com/sleepycat/je/rep/utilint	HandshakeTest	testSubscriptionAuthSucc	test/com/sleepycat/je/rep/utilint/HandshakeTest.java	Test a successful subscription authentication	NOT-PORTED			medium	medium	no matching test by name (snake=subscription_auth_succ); behaviour-level check needed
com/sleepycat/je/rep/utilint	HandshakeTest	testSubscriptionAuthFail	test/com/sleepycat/je/rep/utilint/HandshakeTest.java	Test a failed subscription authentication	NOT-PORTED			medium	medium	no matching test by name (snake=subscription_auth_fail); behaviour-level check needed
com/sleepycat/je/rep/utilint	HandshakeTest	testSubscriptionAuthEmptyToken	test/com/sleepycat/je/rep/utilint/HandshakeTest.java	Test a subscription authentication with empty token	NOT-PORTED			medium	medium	no matching test by name (snake=subscription_auth_empty_token); behaviour-level check needed
com/sleepycat/je/rep/utilint	HandshakeTest	testSubscriptionAuthWithoutToken	test/com/sleepycat/je/rep/utilint/HandshakeTest.java	Test a subscription authentication without any token	NOT-PORTED			medium	medium	no matching test by name (snake=subscription_auth_without_token); behaviour-level check needed
com/sleepycat/je/rep/utilint	SimpleTxnMapTest	testBasic	test/com/sleepycat/je/rep/utilint/SimpleTxnMapTest.java		PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	medium	name-match heuristic
com/sleepycat/je/rep/utilint	SizeAwaitMapTest	testBasic	test/com/sleepycat/je/rep/utilint/SizeAwaitMapTest.java	Tests basic put/remove operations	PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	medium	name-match heuristic
com/sleepycat/je/rep/utilint	SizeAwaitMapTest	testClear	test/com/sleepycat/je/rep/utilint/SizeAwaitMapTest.java	Tests basic put/remove operations @Test public void testBasic() throws Exception { setUp(null); joinThread(0); assertEquals(1, doneThreads.intValue()); for (int i=1; i < threadCount; i++) { assertTrue	PORTED-EQUIVALENT	crates/noxu-cleaner/src/expiration_tracker.rs	test_clear	small	medium	name-match heuristic; 11 candidate Noxu tests
com/sleepycat/je/rep/utilint	SizeAwaitMapTest	testPredicate	test/com/sleepycat/je/rep/utilint/SizeAwaitMapTest.java	Tests put and remove operations with a predicate.	NOT-PORTED			medium	medium	no matching test by name (snake=predicate); behaviour-level check needed
