je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/txn	CursorTxnTest	testNullTxnLockRelease	test/com/sleepycat/je/txn/CursorTxnTest.java	Create a cursor with a null transaction.	NOT-PORTED			medium	critical	no matching test by name (snake=null_txn_lock_release); behaviour-level check needed
com/sleepycat/je/txn	DeadlockTest	testDeadlockBetweenTwoLockers	test/com/sleepycat/je/txn/DeadlockTest.java	Test the deadlock between two lockers.	NOT-PORTED			medium	critical	no matching test by name (snake=deadlock_between_two_lockers); behaviour-level check needed
com/sleepycat/je/txn	DeadlockTest	testDeadlockBetweenTwoTxns	test/com/sleepycat/je/txn/DeadlockTest.java	Test a deadlock between two Txns.	NOT-PORTED			medium	critical	no matching test by name (snake=deadlock_between_two_txns); behaviour-level check needed
com/sleepycat/je/txn	DeadlockTest	testDeadlockAmongThreeLockers	test/com/sleepycat/je/txn/DeadlockTest.java	Test a deadlock among three lockers.	NOT-PORTED			medium	critical	no matching test by name (snake=deadlock_among_three_lockers); behaviour-level check needed
com/sleepycat/je/txn	DeadlockTest	testDeadlockAmongThreeTxns	test/com/sleepycat/je/txn/DeadlockTest.java	Tests a deadlock among three Txns.	NOT-PORTED			medium	critical	no matching test by name (snake=deadlock_among_three_txns); behaviour-level check needed
com/sleepycat/je/txn	DeadlockTest	testDeadlockAmongFourTxns	test/com/sleepycat/je/txn/DeadlockTest.java	Tests deadlock among Four Txns.	NOT-PORTED			medium	critical	no matching test by name (snake=deadlock_among_four_txns); behaviour-level check needed
com/sleepycat/je/txn	DeadlockTest	testThrowCorrectException	test/com/sleepycat/je/txn/DeadlockTest.java	Tests that the correct Exception type is thrown.	NOT-PORTED			medium	critical	no matching test by name (snake=throw_correct_exception); behaviour-level check needed
com/sleepycat/je/txn	DeadlockTest	testDeadlockExceptionThrowBeforeLongTimeWait	test/com/sleepycat/je/txn/DeadlockTest.java	DeadlockException is thrown: 1.	NOT-PORTED			medium	critical	no matching test by name (snake=deadlock_exception_throw_before_long_time_wait); behaviour-level check needed
com/sleepycat/je/txn	DeadlockTest	testDeadlockExceptionAfterLongTimeWait	test/com/sleepycat/je/txn/DeadlockTest.java	DeadlockException is thrown: 1.	NOT-PORTED			medium	critical	no matching test by name (snake=deadlock_exception_after_long_time_wait); behaviour-level check needed
com/sleepycat/je/txn	DeadlockTest	testDeadlockProducedByTwoLockersOnOneLock	test/com/sleepycat/je/txn/DeadlockTest.java	Tests a deadlock produced by two lockers waiting on the same lock.	NOT-PORTED			medium	critical	no matching test by name (snake=deadlock_produced_by_two_lockers_on_one_lock); behaviour-level check needed
com/sleepycat/je/txn	DeadlockTest	testPartialDeadlock	test/com/sleepycat/je/txn/DeadlockTest.java	Test partial deadlock This test case will test the following scenario.	NOT-PORTED			medium	critical	no matching test by name (snake=partial_deadlock); behaviour-level check needed
com/sleepycat/je/txn	DeadlockTest	testDeadlockIntersectionWithOneCommonLocker	test/com/sleepycat/je/txn/DeadlockTest.java	Two deadlock cycles may intersect: 1.	NOT-PORTED			medium	critical	no matching test by name (snake=deadlock_intersection_with_one_common_locker); behaviour-level check needed
com/sleepycat/je/txn	DeadlockTest	testDeadlockIntersectionWithTwoCommonLocker	test/com/sleepycat/je/txn/DeadlockTest.java	Two deadlock cycles may intersect: 1.	NOT-PORTED			medium	critical	no matching test by name (snake=deadlock_intersection_with_two_common_locker); behaviour-level check needed
com/sleepycat/je/txn	LockManagerTest	testSR15926LargeNodeIds	test/com/sleepycat/je/txn/LockManagerTest.java		PORTED-PARTIAL	crates/noxu-txn/tests/lock_manager_test.rs		small	critical	class-level match: Noxu file crates/noxu-txn/tests/lock_manager_test.rs covers same class but no method-name twin for sr15926_large_node_ids
com/sleepycat/je/txn	LockManagerTest	testNegatives	test/com/sleepycat/je/txn/LockManagerTest.java		PORTED-PARTIAL	crates/noxu-txn/tests/lock_manager_test.rs		small	critical	class-level match: Noxu file crates/noxu-txn/tests/lock_manager_test.rs covers same class but no method-name twin for negatives
com/sleepycat/je/txn	LockManagerTest	testMultipleReaders	test/com/sleepycat/je/txn/LockManagerTest.java	Acquire three read locks and make sure that they share nicely.	PORTED-EQUIVALENT	crates/noxu-txn/src/lock_impl.rs	test_multiple_readers	small	critical	name-match heuristic; 2 candidate Noxu tests
com/sleepycat/je/txn	LockManagerTest	testMultipleReadersSingleWrite1	test/com/sleepycat/je/txn/LockManagerTest.java	Grab two read locks, hold them, and make sure that a write lock waits for them to be released.	PORTED-PARTIAL	crates/noxu-txn/tests/lock_manager_test.rs		small	critical	class-level match: Noxu file crates/noxu-txn/tests/lock_manager_test.rs covers same class but no method-name twin for multiple_readers_single_write1
com/sleepycat/je/txn	LockManagerTest	testMultipleReadersSingleWrite2	test/com/sleepycat/je/txn/LockManagerTest.java	Acquire two read locks, put a write locker behind the two read lockers, and then queue a read locker behind the writer.	PORTED-PARTIAL	crates/noxu-txn/tests/lock_manager_test.rs		small	critical	class-level match: Noxu file crates/noxu-txn/tests/lock_manager_test.rs covers same class but no method-name twin for multiple_readers_single_write2
com/sleepycat/je/txn	LockManagerTest	testUpgradeLock	test/com/sleepycat/je/txn/LockManagerTest.java	Acquire two read locks for two transactions, then request a write lock for a third transaction.	PORTED-PARTIAL	crates/noxu-txn/tests/lock_manager_test.rs		small	critical	class-level match: Noxu file crates/noxu-txn/tests/lock_manager_test.rs covers same class but no method-name twin for upgrade_lock
com/sleepycat/je/txn	LockManagerTest	testNonBlockingLock1	test/com/sleepycat/je/txn/LockManagerTest.java	Acquire a read lock, then request a write lock for a second transaction in non-blocking mode.	PORTED-PARTIAL	crates/noxu-txn/tests/lock_manager_test.rs		small	critical	class-level match: Noxu file crates/noxu-txn/tests/lock_manager_test.rs covers same class but no method-name twin for non_blocking_lock1
com/sleepycat/je/txn	LockManagerTest	testNonBlockingLock2	test/com/sleepycat/je/txn/LockManagerTest.java	Acquire a write lock, then request a read lock for a second transaction in non-blocking mode.	PORTED-PARTIAL	crates/noxu-txn/tests/lock_manager_test.rs		small	critical	class-level match: Noxu file crates/noxu-txn/tests/lock_manager_test.rs covers same class but no method-name twin for non_blocking_lock2
com/sleepycat/je/txn	LockManagerTest	testWaitingLock	test/com/sleepycat/je/txn/LockManagerTest.java	Acquire a write lock, then request a read lock for a second transaction in blocking mode.	PORTED-PARTIAL	crates/noxu-txn/tests/lock_manager_test.rs		small	critical	class-level match: Noxu file crates/noxu-txn/tests/lock_manager_test.rs covers same class but no method-name twin for waiting_lock
com/sleepycat/je/txn	LockManagerTest	testLockConflictInfo	test/com/sleepycat/je/txn/LockManagerTest.java	Test that LockConflictException has the correct owners and waiters when it is thrown due to a timeout.	PORTED-PARTIAL	crates/noxu-txn/tests/lock_manager_test.rs		small	critical	class-level match: Noxu file crates/noxu-txn/tests/lock_manager_test.rs covers same class but no method-name twin for lock_conflict_info
com/sleepycat/je/txn	LockManagerTest	testImportunateTxn1	test/com/sleepycat/je/txn/LockManagerTest.java	Test lock stealing.	PORTED-PARTIAL	crates/noxu-txn/tests/lock_manager_test.rs		small	critical	class-level match: Noxu file crates/noxu-txn/tests/lock_manager_test.rs covers same class but no method-name twin for importunate_txn1
com/sleepycat/je/txn	LockManagerTest	testImportunateTxn2	test/com/sleepycat/je/txn/LockManagerTest.java	Test lock stealing.	PORTED-PARTIAL	crates/noxu-txn/tests/lock_manager_test.rs		small	critical	class-level match: Noxu file crates/noxu-txn/tests/lock_manager_test.rs covers same class but no method-name twin for importunate_txn2
com/sleepycat/je/txn	LockTest	testLockConflicts	test/com/sleepycat/je/txn/LockTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=lock_conflicts); behaviour-level check needed
com/sleepycat/je/txn	LockTest	testOwners	test/com/sleepycat/je/txn/LockTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=owners); behaviour-level check needed
com/sleepycat/je/txn	LockTest	testWaiters	test/com/sleepycat/je/txn/LockTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=waiters); behaviour-level check needed
