je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/util	Adler32Test	testRandomAdler32ByteArray	test/com/sleepycat/je/util/Adler32Test.java		NOT-PORTED			medium	medium	no matching test by name (snake=random_adler32_byte_array); behaviour-level check needed
com/sleepycat/je/util	Adler32Test	testRandomAdler32SingleBytes	test/com/sleepycat/je/util/Adler32Test.java		NOT-PORTED			medium	medium	no matching test by name (snake=random_adler32_single_bytes); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testLSNDanglingWithVerifierTransient	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=lsn_dangling_with_verifier_transient); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testLSNDanglingWithVerifierPersitent	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=lsn_dangling_with_verifier_persitent); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testLSNDanglingWithoutVerifierTransient	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=lsn_dangling_without_verifier_transient); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testLSNDanglingWithoutVerifierPersitent	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=lsn_dangling_without_verifier_persitent); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testKeyOrderWithVerifierTransient	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=key_order_with_verifier_transient); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testKeyOrderWithoutVerifierTransient	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=key_order_without_verifier_transient); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testKeyOrderWithoutVerifierPersitent	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=key_order_without_verifier_persitent); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testIndentifyKeyWithVerifierTransient	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=indentify_key_with_verifier_transient); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testIndentifyKeyWithVerifierPersitent	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=indentify_key_with_verifier_persitent); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testIndentifyKeyWithoutVerifierTransient	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=indentify_key_without_verifier_transient); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testIndentifyKeyWithoutVerifierPersitent	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=indentify_key_without_verifier_persitent); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testWithVerifierPrimaryRecordDoesNotExist	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=with_verifier_primary_record_does_not_exist); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testWithoutVerifierPrimaryRecordDoesNotExist	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=without_verifier_primary_record_does_not_exist); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testWithVerifierForeignRecordDoesNotExist	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=with_verifier_foreign_record_does_not_exist); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testWithoutVerifierForeignRecordDoesNotExist	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=without_verifier_foreign_record_does_not_exist); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testWithVerifierSecondaryRecordDoesNotExist	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=with_verifier_secondary_record_does_not_exist); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testWithoutVerifierSecondaryRecordDoesNotExist	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=without_verifier_secondary_record_does_not_exist); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testClosePriDbBeforeBatch	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=close_pri_db_before_batch); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testCloseSecDbBeforeBatch	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=close_sec_db_before_batch); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testRemovePriDbBeforeBatch	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=remove_pri_db_before_batch); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testRemoveSecDbBeforeBatch	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=remove_sec_db_before_batch); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testTruncatePriDbBeforeBatch	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=truncate_pri_db_before_batch); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testTruncateSecDbBeforeBatch	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=truncate_sec_db_before_batch); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testRemovePriAndSecDbBeforeBatch	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=remove_pri_and_sec_db_before_batch); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testClosePriDbDuringBatch	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=close_pri_db_during_batch); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testCloseSecDbDuringBatch	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=close_sec_db_during_batch); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testRemovePriDbDuringBatch	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=remove_pri_db_during_batch); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testRemoveSecDbDuringBatch	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=remove_sec_db_during_batch); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testTruncatePriDbDuringBatch	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=truncate_pri_db_during_batch); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testTruncateSecDbDuringBatch	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=truncate_sec_db_during_batch); behaviour-level check needed
com/sleepycat/je/util	BtreeCorruptionTest	testRemovePriAndSecDbDuringBatch	test/com/sleepycat/je/util/BtreeCorruptionTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=remove_pri_and_sec_db_during_batch); behaviour-level check needed
com/sleepycat/je/util	CustomDbPrintLogTest	testCustom	test/com/sleepycat/je/util/CustomDbPrintLogTest.java	@excludeDualMode This test does not run in Replication Dual Mode.	NOT-PORTED			large	medium	no matching test by name (snake=custom); behaviour-level check needed
com/sleepycat/je/util	DbBackupTest	testBackupVsCleaning	test/com/sleepycat/je/util/DbBackupTest.java	Test basic backup, make sure log cleaning isn't running.	NOT-PORTED			medium	medium	no matching test by name (snake=backup_vs_cleaning); behaviour-level check needed
com/sleepycat/je/util	DbBackupTest	testBackupVsClose	test/com/sleepycat/je/util/DbBackupTest.java	Test basic backup, make sure environment can't be closed mid-stream.	NOT-PORTED			medium	medium	no matching test by name (snake=backup_vs_close); behaviour-level check needed
com/sleepycat/je/util	DbBackupTest	testIncrementalBackup	test/com/sleepycat/je/util/DbBackupTest.java	Test multiple backup passes	NOT-PORTED			medium	medium	no matching test by name (snake=incremental_backup); behaviour-level check needed
com/sleepycat/je/util	DbBackupTest	testBadUsage	test/com/sleepycat/je/util/DbBackupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=bad_usage); behaviour-level check needed
com/sleepycat/je/util	DbBackupTest	testReadOnly	test/com/sleepycat/je/util/DbBackupTest.java		PORTED-EQUIVALENT	crates/noxu-collections/src/stored_sorted_map.rs	test_read_only	small	medium	name-match heuristic
com/sleepycat/je/util	DbBackupTest	testForceNewFile	test/com/sleepycat/je/util/DbBackupTest.java	Tests EnvironmentConfig.ENV_RECOVERY_FORCE_NEW_FILE [#22834].	NOT-PORTED			large	medium	no matching test by name (snake=force_new_file); behaviour-level check needed
com/sleepycat/je/util	DbCacheSizeTest	testSize	test/com/sleepycat/je/util/DbCacheSizeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=size); behaviour-level check needed
com/sleepycat/je/util	DbDeleteReservedFilesTest	testDeleteReservedFiles	test/com/sleepycat/je/util/DbDeleteReservedFilesTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=delete_reserved_files); behaviour-level check needed
com/sleepycat/je/util	DbDumpTest	testMatchCore	test/com/sleepycat/je/util/DbDumpTest.java	A simple test to check if JE's dump format matches Core.	NOT-PORTED			medium	medium	no matching test by name (snake=match_core); behaviour-level check needed
com/sleepycat/je/util	DbDumpTest	testDumpLoadBinary	test/com/sleepycat/je/util/DbDumpTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=dump_load_binary); behaviour-level check needed
com/sleepycat/je/util	DbDumpTest	testDumpLoadPrintable	test/com/sleepycat/je/util/DbDumpTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=dump_load_printable); behaviour-level check needed
com/sleepycat/je/util	DbDumpTest	testDumpLoadTwo	test/com/sleepycat/je/util/DbDumpTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=dump_load_two); behaviour-level check needed
com/sleepycat/je/util	DbDumpTest	testDumpLoadThree	test/com/sleepycat/je/util/DbDumpTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=dump_load_three); behaviour-level check needed
com/sleepycat/je/util	DbLsnTest	testDbLsn	test/com/sleepycat/je/util/DbLsnTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=db_lsn); behaviour-level check needed
com/sleepycat/je/util	DbLsnTest	testComparableEquality	test/com/sleepycat/je/util/DbLsnTest.java		PORTED-EQUIVALENT	crates/noxu-util/src/lsn.rs	test_comparable_equality	small	medium	name-match heuristic
com/sleepycat/je/util	DbLsnTest	testComparableException	test/com/sleepycat/je/util/DbLsnTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=comparable_exception); behaviour-level check needed
com/sleepycat/je/util	DbLsnTest	testComparableInequalityFileNumber	test/com/sleepycat/je/util/DbLsnTest.java		PORTED-EQUIVALENT	crates/noxu-util/src/lsn.rs	test_comparable_inequality_file_number	small	medium	name-match heuristic
com/sleepycat/je/util	DbLsnTest	testComparableInequalityFileOffset	test/com/sleepycat/je/util/DbLsnTest.java		PORTED-EQUIVALENT	crates/noxu-util/src/lsn.rs	test_comparable_inequality_file_offset	small	medium	name-match heuristic
com/sleepycat/je/util	DbLsnTest	testNoCleaningDistance	test/com/sleepycat/je/util/DbLsnTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=no_cleaning_distance); behaviour-level check needed
com/sleepycat/je/util	DbLsnTest	testWithCleaningDistance	test/com/sleepycat/je/util/DbLsnTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=with_cleaning_distance); behaviour-level check needed
com/sleepycat/je/util	DbLsnTest	testTrueDistance	test/com/sleepycat/je/util/DbLsnTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=true_distance); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavenger1	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger1); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavenger2	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger2); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavenger3	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger3); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavenger4	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger4); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavenger5	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger5); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavenger6	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger6); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavenger7	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger7); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavenger8	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger8); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavenger9	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger9); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavenger10	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger10); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavenger11	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger11); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavenger12	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger12); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavenger13	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger13); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavenger14	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger14); behaviour-level check needed
com/sleepycat/je/util	DbScavengerTest	testScavengerAbortedDbLevelOperations	test/com/sleepycat/je/util/DbScavengerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=scavenger_aborted_db_level_operations); behaviour-level check needed
