je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/utilint	AtomicLongComponentTest	testConstructor	test/com/sleepycat/je/utilint/AtomicLongComponentTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu-util uses AtomicI64 directly with no AtomicLongComponent wrapper
com/sleepycat/je/utilint	AtomicLongComponentTest	testSet	test/com/sleepycat/je/utilint/AtomicLongComponentTest.java		PORTED-EQUIVALENT	crates/noxu-evictor/src/evictor_stat.rs	test_set	small	medium	name-match heuristic
com/sleepycat/je/utilint	AtomicLongComponentTest	testClear	test/com/sleepycat/je/utilint/AtomicLongComponentTest.java		PORTED-EQUIVALENT	crates/noxu-cleaner/src/expiration_tracker.rs	test_clear	small	medium	name-match heuristic; 11 candidate Noxu tests
com/sleepycat/je/utilint	AtomicLongComponentTest	testCopy	test/com/sleepycat/je/utilint/AtomicLongComponentTest.java		PORTED-EQUIVALENT	crates/noxu-db/src/cache_mode.rs	test_copy	small	medium	name-match heuristic; 5 candidate Noxu tests
com/sleepycat/je/utilint	AtomicLongComponentTest	testGetFormattedValue	test/com/sleepycat/je/utilint/AtomicLongComponentTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu-util uses AtomicI64 directly with no AtomicLongComponent wrapper
com/sleepycat/je/utilint	AtomicLongComponentTest	testIsNotSet	test/com/sleepycat/je/utilint/AtomicLongComponentTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu-util uses AtomicI64 directly with no AtomicLongComponent wrapper
com/sleepycat/je/utilint	AtomicLongComponentTest	testToString	test/com/sleepycat/je/utilint/AtomicLongComponentTest.java		PORTED-EQUIVALENT	crates/noxu-recovery/src/recovery_info.rs	test_to_string	small	medium	name-match heuristic
com/sleepycat/je/utilint	AtomicLongMapStatTest	testCreateStat	test/com/sleepycat/je/utilint/AtomicLongMapStatTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu's StatGroup is a flat HashMap<&str,AtomicI64>; no MapStat type with computeInterval/negate semantics
com/sleepycat/je/utilint	AtomicLongMapStatTest	testCopy	test/com/sleepycat/je/utilint/AtomicLongMapStatTest.java		PORTED-EQUIVALENT	crates/noxu-db/src/cache_mode.rs	test_copy	small	medium	name-match heuristic; 5 candidate Noxu tests
com/sleepycat/je/utilint	AtomicLongMapStatTest	testComputeInterval	test/com/sleepycat/je/utilint/AtomicLongMapStatTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu's StatGroup is a flat HashMap<&str,AtomicI64>; no MapStat type with computeInterval/negate semantics
com/sleepycat/je/utilint	AtomicLongMapStatTest	testNegate	test/com/sleepycat/je/utilint/AtomicLongMapStatTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu's StatGroup is a flat HashMap<&str,AtomicI64>; no MapStat type with computeInterval/negate semantics
com/sleepycat/je/utilint	AtomicLongMapStatTest	getMap	test/com/sleepycat/je/utilint/AtomicLongMapStatTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu's StatGroup is a flat HashMap<&str,AtomicI64>; no MapStat type with computeInterval/negate semantics
com/sleepycat/je/utilint	AtomicLongMapStatTest	testIsNotSet	test/com/sleepycat/je/utilint/AtomicLongMapStatTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu's StatGroup is a flat HashMap<&str,AtomicI64>; no MapStat type with computeInterval/negate semantics
com/sleepycat/je/utilint	BitMapTest	testSegments	test/com/sleepycat/je/utilint/BitMapTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu does not expose a BitMap utility class
com/sleepycat/je/utilint	BitMapTest	testNegative	test/com/sleepycat/je/utilint/BitMapTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu does not expose a BitMap utility class
com/sleepycat/je/utilint	CronScheduleParserTest	testCheckSame	test/com/sleepycat/je/utilint/CronScheduleParserTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu does not parse cron schedules (daemon thread intervals are configured in milliseconds)
com/sleepycat/je/utilint	CronScheduleParserTest	testValidate	test/com/sleepycat/je/utilint/CronScheduleParserTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu does not parse cron schedules (daemon thread intervals are configured in milliseconds)
com/sleepycat/je/utilint	CronScheduleParserTest	testParser	test/com/sleepycat/je/utilint/CronScheduleParserTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu does not parse cron schedules (daemon thread intervals are configured in milliseconds)
com/sleepycat/je/utilint	DoubleExpMovingAvgTest	testConstructorPeriodMillis	test/com/sleepycat/je/utilint/DoubleExpMovingAvgTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu does not expose a DoubleExpMovingAvg statistic type
com/sleepycat/je/utilint	DoubleExpMovingAvgTest	testCopyConstructor	test/com/sleepycat/je/utilint/DoubleExpMovingAvgTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu does not expose a DoubleExpMovingAvg statistic type
com/sleepycat/je/utilint	DoubleExpMovingAvgTest	testGetAndAdd	test/com/sleepycat/je/utilint/DoubleExpMovingAvgTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu does not expose a DoubleExpMovingAvg statistic type
com/sleepycat/je/utilint	DoubleExpMovingAvgTest	testGetFormattedValue	test/com/sleepycat/je/utilint/DoubleExpMovingAvgTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu does not expose a DoubleExpMovingAvg statistic type
com/sleepycat/je/utilint	DoubleExpMovingAvgTest	testIsNotSet	test/com/sleepycat/je/utilint/DoubleExpMovingAvgTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu does not expose a DoubleExpMovingAvg statistic type
com/sleepycat/je/utilint	ExceptionListenerTest	testExceptionListener	test/com/sleepycat/je/utilint/ExceptionListenerTest.java		OUT-OF-SCOPE			medium	medium	wave10-a OOS; noxu logs failures via the `log` crate rather than dispatching ExceptionEvents to a listener
