je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/utilint	LatencyStatTest	testMillisLatency	test/com/sleepycat/utilint/LatencyStatTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=millis_latency); behaviour-level check needed
com/sleepycat/utilint	LatencyStatTest	testNanoLatency	test/com/sleepycat/utilint/LatencyStatTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=nano_latency); behaviour-level check needed
com/sleepycat/utilint	LatencyStatTest	testRollup	test/com/sleepycat/utilint/LatencyStatTest.java	Test Latency rollup.	NOT-PORTED			medium	medium	no matching test by name (snake=rollup); behaviour-level check needed
com/sleepycat/utilint	LatencyStatTest	testSmallNumberOfOps	test/com/sleepycat/utilint/LatencyStatTest.java	When there is only one op, the 95% and 99% numbers should be the latency for that op, not -1.	NOT-PORTED			medium	medium	no matching test by name (snake=small_number_of_ops); behaviour-level check needed
com/sleepycat/utilint	LatencyStatTest	testMultiOps	test/com/sleepycat/utilint/LatencyStatTest.java	Tests LatencyStat.set when passing numRecordedOps GT 1.	NOT-PORTED			medium	medium	no matching test by name (snake=multi_ops); behaviour-level check needed
com/sleepycat/utilint	LatencyStatTest	testConcurrentSetCalculateClear	test/com/sleepycat/utilint/LatencyStatTest.java	Checks that when set(), calculate() and calculateAndClear() are run concurrently, we see reasonable values returned by calculate().	NOT-PORTED			medium	medium	no matching test by name (snake=concurrent_set_calculate_clear); behaviour-level check needed
com/sleepycat/utilint	LatencyStatTest	testNewTotalRequestsField	test/com/sleepycat/utilint/LatencyStatTest.java	Checks that when a Latency object previously serialized with JE 5.0.69 is deserialized here, the totalRequests field (added in JE 5.0.70) is initialized to the totalOps.	NOT-PORTED			medium	medium	no matching test by name (snake=new_total_requests_field); behaviour-level check needed
com/sleepycat/utilint	StatLoggerTest	testBasic	test/com/sleepycat/utilint/StatLoggerTest.java		PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	medium	name-match heuristic
com/sleepycat/utilint	StatLoggerTest	testDelta	test/com/sleepycat/utilint/StatLoggerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=delta); behaviour-level check needed
com/sleepycat/utilint	StatsTrackerTest	testActivityCounter	test/com/sleepycat/utilint/StatsTrackerTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=activity_counter); behaviour-level check needed
